=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
000220,유유제약,KOSPI,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,138881056340,-592113360,-5987680910,8620374000,6.21,17609191000,116816212370,195205072780,71831031370,-5.6338,61.49,-1785235500,0.0,거래 정상
2023-12-31,137209588670,364537390,-7180899660,7187636000,5.24,17609191000,112187629250,198213526760,77857871880,-5.371,69.4,0,-1.2,거래 정상
2024-12-31,133147218080,12581670290,8720350790,2779905000,2.09,17609191000,125231958120,207687399000,72624048180,-6.1117,57.99,0,-2.96,거래 정상
2025-12-31,140884666970,11019185770,8154030100,3612979000,2.56,17609191000,129631396230,207223189480,66679224990,-6.3616,51.44,-1997724540,5.81,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,0회 실시
최근 3개년 유상증자 조달금액,"-1,997,724,540 원"
최대주주 및 특수관계인 지분율,35.2% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,기업지배구조보고서공시              ,N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,기업가치제고계획(자율공시)              ,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2026,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)              ,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,유형자산취득결정(종속회사의주요경영사항)              ,N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,자기주식취득결과보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)              ,N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,주요사항보고서(자기전환사채만기전취득결정),N/A,모니터링 필요
2025,기타경영사항(자율공시)              ,N/A,모니터링 필요
2025,주요사항보고서(자기전환사채만기전취득결정),N/A,모니터링 필요
2025,주요사항보고서(자기주식취득결정),N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)이상변경              ,N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)              ,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2024,단일판매ㆍ공급계약체결              ,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,감사보고서제출              ,N/A,모니터링 필요
2024,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,주주총회소집결의              ,N/A,모니터링 필요
2024,매출액또는손익구조30%(대규모법인은15%)이상변경              ,N/A,모니터링 필요
2024,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시),N/A,모니터링 필요
2024,타인에대한채무보증결정,N/A,모니터링 필요
2023,[기재정정]분기보고서 (2023.09),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,분기보고서 (2023.09),N/A,모니터링 필요
2023,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2023,반기보고서 (2023.06),N/A,모니터링 필요
2023,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2023,최대주주등소유주식변동신고서,N/A,모니터링 필요
2023,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2023,주식소각결정,N/A,모니터링 필요
2023,합병등종료보고서(합병),N/A,모니터링 필요
2023,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2023,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2023,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
