=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
002210,동성제약,KOSPI,Y,2025-06-24,2023-12-24,거래 정지

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,93328194830,-3096985010,-2121670410,4115806000,4.41,26100970000,42809263160,107702060960,64892797800,-0.6401,151.59,0,0.0,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,0회 실시
최근 3개년 유상증자 조달금액,0 원
최대주주 및 특수관계인 지분율,13.77% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정지

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,기타시장안내              (개선계획 이행 여부 심의 요청),N/A,모니터링 필요
2026,기타안내사항(안내공시)              ,N/A,모니터링 필요
2026,[기재정정]주주명부폐쇄기간또는기준일설정              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주주총회소집결의              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,회생절차종결결정              ,N/A,모니터링 필요
2026,소송등의제기ㆍ신청(일정금액이상의청구)              ,N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,[기재정정]주요사항보고서(감자결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,소송등의판결ㆍ결정              ,N/A,모니터링 필요
2026,기타시장안내              (개선기간 종료 및 향후 절차 안내),N/A,모니터링 필요
2026,[기재정정]주요사항보고서(감자결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,기타경영사항(자율공시)              ,N/A,모니터링 필요
