=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
002390,한독,KOSPI,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,543759151910,28496186220,10683543860,23995160000,4.41,6881766500,379812472680,871106170060,489250127550,-54.1911,128.81,3996730000,0.0,거래 정상
2023-12-31,522741079530,12578832160,-28797445620,28671530000,5.48,6881766500,338731977980,790339658170,449706525420,-48.2217,132.76,0,-3.87,거래 정상
2024-12-31,507358329300,538507270,-52562762550,22630394000,4.46,6881766500,287262262410,788555006780,499494735810,-40.7425,173.88,0,-2.94,거래 정상
2025-12-31,535137855360,3291476240,-2153006030,21191971000,3.96,6881766500,276608514860,790750159500,512428746660,-39.1944,185.25,0,5.48,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,0회 실시
최근 3개년 유상증자 조달금액,0 원
최대주주 및 특수관계인 지분율,43.46% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,[첨부추가]사업보고서 (2025.12),N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,주식매수선택권부여에관한신고,N/A,모니터링 필요
2026,[기재정정]영업(잠정)실적(공정공시)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주주총회소집결의              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,감사보고서제출              ,N/A,모니터링 필요
2026,[기재정정]주주총회소집공고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,공정거래자율준수프로그램운영현황(안내공시)              ,N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,주식매수선택권부여에관한신고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변경              ,N/A,모니터링 필요
2026,영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2026,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,N/A,모니터링 필요
2026,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
