=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
002630,오리엔트바이오,KOSPI,Y,2026-05-19,2024-11-17,거래 정지

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2022-03-31,26276462470,-3780754020,34198169000,2594946240,9.88,59291502500,83187738000,104952008520,21764271000,-0.403,26.16,19764620,0.0,거래 정상
2023-03-31,28819028140,3465266600,-12423707810,1801325100,6.25,59291502500,71392357780,81050220060,9657861930,-0.2041,13.53,0,9.68,거래 정상
2024-03-31,28005127320,4454780040,12871053370,1946881670,6.95,59291502500,85095979050,96987787340,11891807650,-0.4352,13.97,0,-2.82,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"19,764,620 원"
최대주주 및 특수관계인 지분율,35.62% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정지

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,매출액또는손익구조30%(대규모법인은15%)이상변경              ,N/A,모니터링 필요
2026,임시주주총회결과              ,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2026,주식병합결정              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2026,분기보고서 (2025.12),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등거래계획보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,자기주식처분결과보고서,N/A,모니터링 필요
2025,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2025,반기보고서 (2025.09),N/A,모니터링 필요
2025,분기보고서 (2025.06),N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,[기재정정]매출액또는손익구조30%(대규모법인은15%)이상변경              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,사업보고서 (2025.03),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,[기재정정]사업보고서 (2019.03),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]감사보고서제출              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)이상변경              ,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,분기보고서 (2024.12),N/A,모니터링 필요
2025,조회공시요구(현저한시황변동)에대한답변(중요공시대상없음)              ,N/A,경영 투명성 또는 중요 정보 발생 의혹 제기
2024,[기재정정]조회공시요구(현저한시황변동)에대한답변(미확정)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]조회공시요구(현저한시황변동)에대한답변(미확정)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,조회공시요구(현저한시황변동)에대한답변(미확정)              ,N/A,경영 투명성 또는 중요 정보 발생 의혹 제기
2024,조회공시요구(현저한시황변동)              ,N/A,경영 투명성 또는 중요 정보 발생 의혹 제기
2024,반기보고서 (2024.09),N/A,모니터링 필요
2024,분기보고서 (2024.06),N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,[기재정정]매출액또는손익구조30%(대규모법인은15%)이상변경              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,사업보고서 (2024.03),N/A,모니터링 필요
2024,감사보고서제출              ,N/A,모니터링 필요
2024,타인에대한담보제공결정              ,N/A,모니터링 필요
2024,주주총회소집결의              ,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,매출액또는손익구조30%(대규모법인은15%)이상변경              ,N/A,모니터링 필요
2024,분기보고서 (2023.12),N/A,모니터링 필요
2023,반기보고서 (2023.09),N/A,모니터링 필요
2023,분기보고서 (2023.06),N/A,모니터링 필요
2023,불성실공시법인지정,N/A,모니터링 필요
2023,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2023,정기주주총회결과,N/A,모니터링 필요
2023,사업보고서 (2023.03),N/A,모니터링 필요
2023,[기재정정]매출액또는손익구조30%(대규모법인은15%)이상변경,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,감사보고서제출,N/A,모니터링 필요
2023,타인에대한담보제공결정,N/A,모니터링 필요
2023,불성실공시법인지정예고,N/A,모니터링 필요
2023,매출액또는손익구조30%(대규모법인은15%)이상변경,N/A,모니터링 필요
2023,주주총회소집결의,N/A,모니터링 필요
2023,주주총회소집공고,N/A,모니터링 필요
