=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
002800,신신제약,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,91925822960,5426211310,4414549740,89904000,0.1,7585250000,59697998490,121213081070,61681895460,-6.8703,103.32,0,0.0,거래 정상
2023-12-31,102585576210,6003845930,4679929240,488034000,0.48,7585250000,62295048410,124409301990,62318878210,-7.2127,100.04,0,11.6,거래 정상
2024-12-31,106387869010,6890119250,4888497570,474499000,0.45,7585250000,65873603020,129484086140,63915345100,-7.6844,97.03,0,3.71,거래 정상
2025-12-31,113778253740,10790159530,9292008450,898013000,0.79,7585250000,74829112500,137497263980,62977141420,-8.8651,84.16,0,6.95,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,0회 실시
최근 3개년 유상증자 조달금액,0 원
최대주주 및 특수관계인 지분율,52.0% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,투자판단관련주요경영사항(임상시험계획자진취하등)              (불면증 환자의 단기치료제 SS262의 제1상 임상시험 조기종료),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2026,투자판단관련주요경영사항(임상시험계획자진취하등)              (과민성 방광 치료제 UIP620의 제3상 임상시험 조기종료),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,소속부변경              ,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,[기재정정]주주총회소집공고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,[기재정정]주주총회소집결의              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,주요사항보고서(영업정지),N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,"투자판단관련주요경영사항(임상시험계획승인신청등결정)              (과민성 방광 환자를 대상으로 UIP620의 유효성 및 안전성을 평가하기 위한 무작위배정, 이중눈가림, 다기관, 제3상 임상시험계획IND 승인)",N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
