=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
003000,부광약품,KOSPI,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,190909364530,-230635470,-2474853480,24274420290,12.72,36401993000,263217374280,400929188510,129081732480,-6.2309,49.04,100000000,0.0,거래 정상
2023-12-31,125928240770,-37496759870,-31329660640,34551207820,27.44,36401993000,226311356060,429017049390,194752377150,-5.217,86.06,0,-34.04,거래 정상
2024-12-31,160086870100,1617661860,-2641325690,23430643000,14.64,36401993000,243675730040,373180311820,129034731760,-5.694,52.95,0,27.13,거래 정상
2025-12-31,200714183690,14163801760,12557561620,19401395000,9.67,51506993000,340599929450,476294610330,135362536190,-5.6127,39.74,88157531500,25.38,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"88,157,531,500 원"
최대주주 및 특수관계인 지분율,30.61% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)],N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,[기재정정]타법인주식및출자증권취득결정              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,타법인주식및출자증권취득결정              ,N/A,모니터링 필요
2026,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2026,기업설명회(IR)개최(안내공시)              ,N/A,모니터링 필요
2026,기업가치제고계획(자율공시)              ,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,대규모기업집단현황공시[분기별공시(개별회사용)],N/A,모니터링 필요
2026,[기재정정]단일판매ㆍ공급계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변경              ,N/A,모니터링 필요
2026,기업설명회(IR)개최(안내공시)              ,N/A,모니터링 필요
2026,투자판단관련주요경영사항              ,N/A,모니터링 필요
2025,투자판단관련주요경영사항              ,N/A,모니터링 필요
2025,투자판단관련주요경영사항              ,N/A,모니터링 필요
2025,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,대규모기업집단현황공시[분기별공시(개별회사용)],N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,기업설명회(IR)개최(안내공시)              ,N/A,모니터링 필요
2025,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,N/A,모니터링 필요
2025,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2025,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2025,기업설명회(IR)개최(안내공시)              ,N/A,모니터링 필요
2025,대규모기업집단현황공시[분기별공시(개별회사용)],N/A,모니터링 필요
2025,지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,N/A,모니터링 필요
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2025,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2025,기업설명회(IR)개최(안내공시)              ,N/A,모니터링 필요
2025,유상증자또는주식관련사채등의발행결과(자율공시)              ,"88,157,531,500",지분 희석 및 자금 사정 악화 반증 우려
2025,증권발행실적보고서,N/A,모니터링 필요
2025,[기재정정]특수관계인의유상증자참여,"88,157,531,500",지분 희석 및 자금 사정 악화 반증 우려
2025,유상증자또는주식관련사채등의청약결과(자율공시)              ,"88,157,531,500",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]특수관계인의유상증자참여,"88,157,531,500",지분 희석 및 자금 사정 악화 반증 우려
2025,유상증자또는주식관련사채등의청약결과(자율공시)              ,"88,157,531,500",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]투자설명서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[발행조건확정]증권신고서(지분증권),N/A,모니터링 필요
2025,[기재정정]주요사항보고서(유상증자결정),"88,157,531,500",지분 희석 및 자금 사정 악화 반증 우려
2025,특수관계인의유상증자참여,"88,157,531,500",지분 희석 및 자금 사정 악화 반증 우려
2025,유상증자신주발행가액(안내공시)              ,"88,157,531,500",지분 희석 및 자금 사정 악화 반증 우려
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)],N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등거래계획보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등거래계획보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등거래계획보고서,N/A,모니터링 필요
2025,[기재정정]투자설명서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주요사항보고서(유상증자결정),"88,157,531,500",지분 희석 및 자금 사정 악화 반증 우려
2025,유상증자신주발행가액(안내공시)              ,"88,157,531,500",지분 희석 및 자금 사정 악화 반증 우려
2025,[발행조건확정]증권신고서(지분증권),N/A,모니터링 필요
2025,투자설명서,N/A,모니터링 필요
2025,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
