=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
003060,에이프로젠바이오로직스,KOSPI,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,65190359330,-3477243080,12639360930,2186845000,3.35,292877344000,426521105000,684140416690,173729691930,-0.4563,40.73,244370,0.0,거래 정상
2023-12-31,87363627710,-57795155450,-118269720510,14999891000,17.17,332877344500,368691477730,589396664790,220705187050,-0.1076,59.86,40000000500,34.01,거래 정상
2024-12-31,67378141310,-53314969470,-104978891930,18035479540,26.77,99203922500,378491355950,590984471820,212293831660,-2.8153,56.09,115758613450,-22.88,거래 정상
2025-12-31,73226140150,-60485214420,-170330530390,4003313160,5.47,99203922500,207757219690,586992600340,309425651980,-1.0942,148.94,607690,8.68,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"155,759,221,640 원"
최대주주 및 특수관계인 지분율,3.76% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,유상증자또는주식관련사채등의발행결과(자율공시)              ,N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,주요사항보고서(전환사채권발행결정),N/A,모니터링 필요
2026,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,주요사항보고서(전환사채권발행결정),N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2026,유상증자또는주식관련사채등의발행결과(자율공시)              ,N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,[기재정정]최대주주등소유주식변동신고서              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,주요사항보고서(유상증자결정),N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,타인에대한담보제공결정              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
