=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
003220,대원제약,KOSPI,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,210311640,0.0,거래 정상
2022-12-31,478884656360,43006375910,31944350700,12645510000,2.64,10982335000,250947224910,453550065820,204784866660,-21.8501,81.6,0,0.0,거래 정상
2023-12-31,526952045060,32232798090,23916930910,18206744000,3.46,11095097000,266198938600,507998342350,243733869780,-22.9925,91.56,106644900,10.04,거래 정상
2024-12-31,598162352610,28220453670,14209540700,21926420000,3.67,11213791500,275284566430,583388833680,298810595740,-23.5488,108.55,0,13.51,거래 정상
2025-12-31,605434719610,3506083710,-1379677420,23762368000,3.92,11213791500,265918340220,613651220670,339072737420,-22.7135,127.51,0,1.22,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"106,644,900 원"
최대주주 및 특수관계인 지분율,37.77% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,기업지배구조보고서공시              ,N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,[기재정정]주주총회소집공고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주주총회소집결의              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,공정거래자율준수프로그램운영현황(안내공시)              ,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)              ,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변경              ,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,N/A,모니터링 필요
2025,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)              ,N/A,모니터링 필요
2025,[첨부추가]분기보고서 (2025.09),N/A,모니터링 필요
2025,기업설명회(IR)개최(안내공시)              ,N/A,모니터링 필요
2025,투자판단관련주요경영사항              (DW4421의 제3상 임상시험(비미란성)계획 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,투자판단관련주요경영사항              (DW4421의 제3상 임상시험(미란성)계획 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,투자판단관련주요경영사항              (코대원플러스정 식품의약품안전처 국내 품목허가 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,[기재정정]투자판단관련주요경영사항              (코대원플러스정 식품의약품안전처 국내 품목허가 신청),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,유상증자또는주식관련사채등의발행결과(자율공시)              ,N/A,지분 희석 및 자금 사정 악화 반증 우려
2025,자기주식처분결과보고서,N/A,모니터링 필요
2025,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2025,주요사항보고서(교환사채권발행결정),N/A,모니터링 필요
2025,공정거래자율준수프로그램운영현황(안내공시)              ,N/A,모니터링 필요
2025,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)              ,N/A,모니터링 필요
2025,[기재정정]감자결정(종속회사의주요경영사항)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,감자결정(종속회사의주요경영사항)              ,N/A,모니터링 필요
2025,기업지배구조보고서공시              ,N/A,모니터링 필요
2025,투자판단관련주요경영사항              (코대원플러스정 식품의약품안전처 국내 품목허가 신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)              ,N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,투자판단관련주요경영사항              (DW4421 제3상 임상시험계획 승인신청(비미란성) ),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,투자판단관련주요경영사항              (DW4421 제3상 임상시험계획 승인신청(미란성)),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,공정거래자율준수프로그램운영현황(안내공시)              ,N/A,모니터링 필요
2025,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)              ,N/A,모니터링 필요
2025,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)이상변경              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,공정거래자율준수프로그램운영현황(안내공시)              ,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,기업지배구조보고서공시              ,N/A,모니터링 필요
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,감사보고서제출              ,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,공정거래자율준수프로그램운영현황(안내공시)              ,N/A,모니터링 필요
2024,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2024,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2024,주주총회소집결의              ,N/A,모니터링 필요
2024,출자법인회생절차및파산관련결정,N/A,모니터링 필요
2024,대표이사(대표집행임원)변경(안내공시),N/A,모니터링 필요
2023,최대주주등소유주식변동신고서,N/A,모니터링 필요
2023,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2023,[기재정정]타법인주식및출자증권취득결정,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,[기재정정]투자판단관련주요경영사항,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,[기재정정]투자판단관련주요경영사항,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,분기보고서 (2023.09),N/A,모니터링 필요
2023,타법인주식및출자증권취득결정,N/A,모니터링 필요
2023,투자판단관련주요경영사항,N/A,모니터링 필요
2023,[기재정정]투자판단관련주요경영사항,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2023,투자판단관련주요경영사항,N/A,모니터링 필요
2023,금전대여결정,N/A,모니터링 필요
2023,공정거래자율준수프로그램운영현황(안내공시),N/A,모니터링 필요
2023,투자판단관련주요경영사항,N/A,모니터링 필요
2023,기타경영사항(자율공시),N/A,모니터링 필요
2023,반기보고서 (2023.06),N/A,모니터링 필요
2023,최대주주등소유주식변동신고서,N/A,모니터링 필요
