=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
003850,보령,KOSPI,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,98512500000,0.0,거래 정상
2022-12-31,760475844690,56602877250,41894431740,41705139000,5.48,34345000000,515917388790,892385915170,375969361310,-14.0216,72.87,0,0.0,거래 정상
2023-12-31,859625585760,68267020500,40202797520,47286087000,5.5,34345000000,548749644990,915511541050,366258950640,-14.9776,66.74,0,13.04,거래 정상
2024-12-31,1017106670440,70472226890,69633253500,51469280000,5.06,43393603500,784503260930,1164086929990,379583669060,-17.0788,48.39,174999991690,18.32,거래 정상
2025-12-31,1017427357540,65066733140,64302934590,65089236000,6.4,43393603500,845502782070,1387880345930,542377563850,-18.4845,64.15,0,0.03,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"174,999,991,690 원"
최대주주 및 특수관계인 지분율,65.84% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,지속가능경영보고서등관련사항(자율공시)              ,N/A,모니터링 필요
2026,[기재정정]투자판단관련주요경영사항              (유방암 치료제 탁소텔(Taxotere)의 글로벌 비즈니스 인수 계약의 건),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,기업지배구조보고서공시              ,N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2026,공정거래자율준수프로그램운영현황(안내공시)              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,[첨부정정]사업보고서 (2025.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,[첨부정정]의결권대리행사권유참고서류,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,감사보고서제출              ,N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
