=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
006280,녹십자,KOSPI,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,1711312739530,81263666260,65453133850,191347000000,11.18,58432690000,1328122429370,2525537081260,958895150180,-21.7291,72.2,0,0.0,거래 정상
2023-12-31,1626643815820,34441169870,-26631783140,173487000000,10.67,58432690000,1300236293690,2643313917480,1103450608000,-21.2519,84.87,0,-4.95,거래 정상
2024-12-31,1679891941470,32107347490,-26280215150,166198000000,9.89,58432690000,1252644924130,2743875851970,1262860145970,-20.4374,100.82,0,3.27,거래 정상
2025-12-31,1991279093820,69149856930,-4673833010,152945000000,7.68,58432690000,1217477204970,2971095184890,1576822440730,-19.8355,129.52,0,18.54,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,0회 실시
최근 3개년 유상증자 조달금액,0 원
최대주주 및 특수관계인 지분율,51.44% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,주요사항보고서(타법인주식및출자증권양도결정),N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2026,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2026,투자판단관련주요경영사항              ,N/A,모니터링 필요
2026,타법인주식및출자증권처분결정              ,N/A,모니터링 필요
2026,[기재정정]정기주주총회결과              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,증권발행실적보고서,N/A,모니터링 필요
2026,투자설명서,N/A,모니터링 필요
2026,[발행조건확정]증권신고서(채무증권),N/A,모니터링 필요
2026,기업설명회(IR)개최(안내공시)              ,N/A,모니터링 필요
2026,[기재정정]매출액또는손익구조30%(대규모법인은15%)이상변경              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주주총회소집결의              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[발행조건확정]증권신고서(채무증권),N/A,모니터링 필요
2026,[기재정정]증권신고서(채무증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,증권신고서(채무증권),N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2026,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,N/A,모니터링 필요
2026,투자판단관련주요경영사항              ,N/A,모니터링 필요
2026,공정거래자율준수프로그램운영현황(안내공시)              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변경              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,기타경영사항(자율공시)              (배당기준일 변경 안내),N/A,모니터링 필요
2025,[기재정정]단일판매ㆍ공급계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2025,[기재정정]단일판매ㆍ공급계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,공정거래자율준수프로그램운영현황(안내공시)              ,N/A,모니터링 필요
2025,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2025,기업지배구조보고서공시              ,N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2025,[기재정정]장래사업ㆍ경영계획(공정공시)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,투자판단관련주요경영사항              ,N/A,모니터링 필요
2025,[기재정정]장래사업ㆍ경영계획(공정공시)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,기업설명회(IR)개최(안내공시)              ,N/A,모니터링 필요
2025,수시공시의무관련사항(공정공시)              ,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)이상변경              ,N/A,모니터링 필요
2025,공정거래자율준수프로그램운영현황(안내공시)              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,타법인주식및출자증권취득결정              ,N/A,모니터링 필요
2024,타법인주식및출자증권처분결정              ,N/A,모니터링 필요
2024,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,N/A,모니터링 필요
2024,투자판단관련주요경영사항              ,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2024,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,단일판매ㆍ공급계약체결              ,N/A,모니터링 필요
2024,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2024,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2024,공정거래자율준수프로그램운영현황(안내공시)              ,N/A,모니터링 필요
2024,단일판매ㆍ공급계약체결              ,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,기업지배구조보고서공시              ,N/A,모니터링 필요
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2024,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,감사보고서제출              ,N/A,모니터링 필요
2024,의결권대리행사권유참고서류,N/A,모니터링 필요
