=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
007390,네이처셀,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,21252018170,-6695996250,-6813585330,1577481500,7.42,31318578000,57158171840,94021004310,36862832470,-0.8251,64.49,10650000,0.0,거래 정상
2023-12-31,19350887020,-10175802310,-11680328640,2221231000,11.48,32078578000,61419188330,68398678560,6979490230,-0.9146,11.36,16031150000,-8.95,거래 정상
2024-12-31,32333908150,604014450,1226158100,338899000,1.05,32178578000,64624400670,71997508750,7373108080,-1.0083,11.41,1225045000,67.09,거래 정상
2025-12-31,20734613570,-3620860200,-2838308810,64370000,0.31,32217528000,63029885330,74731473440,11701588100,-0.9564,18.57,886012300,-35.87,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"18,142,207,300 원"
최대주주 및 특수관계인 지분율,18.5% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,대표이사변경              ,N/A,모니터링 필요
2026,풍문또는보도에대한해명              ,N/A,모니터링 필요
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,단기차입금증가결정              ,N/A,모니터링 필요
2025,[기재정정]유형자산취득결정(종속회사의주요경영사항)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,임시주주총회결과              ,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,타법인주식및출자증권취득결정              ,N/A,모니터링 필요
2025,유상증자결정(종속회사의주요경영사항)              ,"886,012,300",지분 희석 및 자금 사정 악화 반증 우려
2025,유형자산취득결정(종속회사의주요경영사항)              ,N/A,모니터링 필요
