=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
007570,일양약품,KOSPI,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,247772599350,14248916840,19385177000,22395019000,9.04,47714160000,234423234240,402916432340,165131818170,-3.9131,70.44,0,0.0,거래 정상
2023-12-31,266669003170,16379099800,-2408657000,23747861000,8.91,47714160000,226863690700,392606560430,162206815160,-3.7546,71.5,0,7.63,거래 정상
2024-12-31,268677532910,9622203210,9031804580,24739758000,9.21,47714160000,235951178730,431027453980,191493987380,-3.9451,81.16,515480300,0.75,거래 정상
2025-12-31,272422211700,4962569860,6904778960,26099386000,9.58,47714160000,237603084110,457330667950,215922084510,-3.9797,90.88,0,1.39,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"515,480,300 원"
최대주주 및 특수관계인 지분율,26.85% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,타법인주식및출자증권취득결정              ,N/A,모니터링 필요
2026,기타경영사항(자율공시)              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,기타경영사항(자율공시)              ,N/A,모니터링 필요
2026,기타시장안내              (유가증권시장 기업심사위원회 심의결과 및 상장유지 결정 안내),N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,기업가치제고계획(자율공시)              ,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,기타시장안내              (개선계획 이행 여부 심의 요청),N/A,모니터링 필요
2026,공정거래자율준수프로그램운영현황(안내공시)              ,N/A,모니터링 필요
2026,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변경              ,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2025,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2025,임시주주총회결과              ,N/A,모니터링 필요
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,[기재정정]주주총회소집결의              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,상장적격성실질심사관련주요개선계획(자율공시)              ,N/A,모니터링 필요
2025,기타시장안내              (개선기간 부여 결정),N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2025,대표이사(대표집행임원)변경(안내공시)              ,N/A,모니터링 필요
2025,기타시장안내              (기업심사위원회 심의대상 결정),N/A,모니터링 필요
2025,[기재정정]기타시장안내              (상장적격성 실질심사 사유 발생),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,기타시장안내              (상장적격성 실질심사 사유 발생),N/A,모니터링 필요
2025,회계처리기준위반에따른검찰고발등조치              ,N/A,모니터링 필요
