=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
014570,고려제약,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,79984056440,14329019750,11808841480,0,0.0,5500000000,84712633360,94516358200,9803724930,-14.4023,11.57,3610600,0.0,거래 정상
2023-12-31,81374983430,18025892090,-4916772790,0,0.0,5500000000,77090083470,89709047800,12618965060,-13.0164,16.37,18314360,1.74,거래 정상
2024-12-31,73001424470,9138456670,2995105170,0,0.0,5500000000,78106002510,88887302480,10781299940,-13.2011,13.8,133701860,-10.29,거래 정상
2025-12-31,62508834670,6913176410,6512029110,0,0.0,5500000000,83071767880,94318455090,11246687500,-14.104,13.54,24607370,-14.37,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"176,623,590 원"
최대주주 및 특수관계인 지분율,50.19% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,자기주식처분결과보고서,N/A,모니터링 필요
2026,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,소속부변경              ,N/A,모니터링 필요
2026,자기주식처분결과보고서,N/A,모니터링 필요
2026,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2026,[첨부추가]사업보고서 (2025.12),N/A,모니터링 필요
2026,기업가치제고계획(자율공시)              ,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,자기주식처분결과보고서,N/A,모니터링 필요
2026,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,자기주식처분결과보고서,N/A,모니터링 필요
2026,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,자기주식처분결과보고서,N/A,모니터링 필요
2025,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2025,자기주식처분결과보고서,N/A,모니터링 필요
2025,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2025,자기주식처분결과보고서,N/A,모니터링 필요
2025,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,자기주식처분결과보고서,N/A,모니터링 필요
2025,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2025,자기주식처분결과보고서,N/A,모니터링 필요
2024,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2024,자기주식처분결과보고서,N/A,모니터링 필요
2024,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,자기주식처분결과보고서,N/A,모니터링 필요
2024,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2024,자기주식처분결과보고서,N/A,모니터링 필요
2024,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,자기주식처분결과보고서,N/A,모니터링 필요
2024,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2024,자기주식처분결과보고서,N/A,모니터링 필요
2024,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,자기주식처분결과보고서,N/A,모니터링 필요
2024,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2024,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,감사보고서제출              ,N/A,모니터링 필요
2024,의결권대리행사권유참고서류,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2024,주주총회소집결의              ,N/A,모니터링 필요
2024,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2024,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2024,자기주식처분결과보고서,N/A,모니터링 필요
2024,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2023,주주명부폐쇄기간또는기준일설정,N/A,모니터링 필요
2023,자기주식처분결과보고서,N/A,모니터링 필요
2023,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2023,분기보고서 (2023.09),N/A,모니터링 필요
2023,자기주식처분결과보고서,N/A,모니터링 필요
2023,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2023,자기주식처분결과보고서,N/A,모니터링 필요
2023,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2023,반기보고서 (2023.06),N/A,모니터링 필요
2023,자기주식처분결과보고서,N/A,모니터링 필요
2023,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
