=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
014950,삼익제약,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2023-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2024-12-31,0,3677957900,3522195000,0,0.0,0,51951945250,0,0,0.0,0.0,0,0.0,거래 정상
2025-12-31,60020414510,3272886790,-754888000,2059694000,3.43,919641300,68984915340,85223222710,16238307350,-74.0129,23.54,131660000,0.0,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"131,660,000 원"
최대주주 및 특수관계인 지분율,62.6% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,주주총회소집결의              (임시주주총회),N/A,모니터링 필요
2026,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,기업가치제고계획(자율공시)              (2026년 삼익제약(주) 기업가치 제고 계획),N/A,모니터링 필요
2026,전환청구권행사              (제1회차),N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,주요사항보고서(영업정지),N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,신규시설투자등              ,N/A,모니터링 필요
2025,증권발행실적보고서(합병등),N/A,모니터링 필요
2025,투자설명서,N/A,모니터링 필요
2025,[기재정정]증권신고서(합병),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,증권신고서(합병),N/A,모니터링 필요
2025,연결감사보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서 (2024.12),N/A,모니터링 필요
2024,감사보고서 (2023.12),N/A,모니터링 필요
