=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
033270,유나이티드제약,KOSPI,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,262522022550,48213162110,45275093910,15535632000,5.92,8122411000,337856486360,417890866560,80034380200,-40.5956,23.69,0,0.0,거래 정상
2023-12-31,278943296810,55273759510,48261713560,17303588000,6.2,8122411000,378681044240,468860417710,90179373460,-45.6218,23.81,0,6.26,거래 정상
2024-12-31,288706729640,33515526190,32452988020,16214675000,5.62,8166911000,406207015510,473928536450,67721520990,-48.7381,16.67,1345777400,3.5,거래 정상
2025-12-31,288764867640,50111582170,38308011300,17860634000,6.19,8166911000,454629301390,519491695610,64862394570,-54.6672,14.27,10407712500,0.02,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,2회 실시
최근 3개년 유상증자 조달금액,"11,753,489,900 원"
최대주주 및 특수관계인 지분율,41.87% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,기업지배구조보고서공시              ,N/A,모니터링 필요
2026,소송등의판결ㆍ결정(일정금액이상의청구)              ,N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,[기재정정]사업보고서 (2025.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[첨부정정]감사보고서제출              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,투자판단관련주요경영사항              ,N/A,모니터링 필요
2026,기업가치제고계획(자율공시)              ,N/A,모니터링 필요
2026,[기재정정]주주총회소집결의              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주주총회소집공고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
