=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
034940,조아제약,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,68879662110,-482207800,560692700,1301568000,1.89,15489913500,52843823800,85639408970,34231202180,-2.4115,64.78,0,0.0,거래 정상
2023-12-31,62973743080,-6834978080,-10514368980,2182069000,3.47,15489913500,40993084530,74221475480,35463609520,-1.6464,86.51,0,-8.57,거래 정상
2024-12-31,62693744120,-9635455450,-9604518570,1561289000,2.49,15489913500,31375771020,71320036770,42759148440,-1.0256,136.28,0,-0.44,거래 정상
2025-12-31,59310981910,-6598459370,-6805775550,1162871000,1.96,15489913500,25005304950,64683059310,42916431520,-0.6143,171.63,0,-5.4,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,0회 실시
최근 3개년 유상증자 조달금액,0 원
최대주주 및 특수관계인 지분율,20.0% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,주식병합결정              ,N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,생산재개(자율공시)              ,N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,생산중단              ,N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,계열회사변경(자율공시)              ,N/A,모니터링 필요
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,감사보고서제출              ,N/A,모니터링 필요
2024,[기재정정]의결권대리행사권유참고서류,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,의결권대리행사권유참고서류,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2024,주주총회소집결의              ,N/A,모니터링 필요
2023,주주명부폐쇄기간또는기준일설정,N/A,모니터링 필요
2023,분기보고서 (2023.09),N/A,모니터링 필요
2023,반기보고서 (2023.06),N/A,모니터링 필요
