=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
049180,셀루메드,KOSDAQ,Y,2026-03-16,2024-09-14,거래 정지

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,13904560950,0.0,거래 정상
2022-12-31,122085263070,-3982383860,-5570928570,1523142550,1.25,20888214500,53944768520,93255931800,38126577580,-1.5825,70.68,0,0.0,거래 정상
2023-12-31,95552959600,-10739647500,-37297756050,1505675200,1.58,21402362500,22461292290,66470629750,43452929520,-0.0495,193.46,480000000,-21.73,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,2회 실시
최근 3개년 유상증자 조달금액,"14,384,560,950 원"
최대주주 및 특수관계인 지분율,15.54% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정지

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,[기재정정]소송등의제기ㆍ신청(일정금액이상의청구)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,소송등의제기ㆍ신청(일정금액이상의청구)              (지급명령),N/A,모니터링 필요
2026,[기재정정]금전대여결정              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,[기재정정]금전대여결정              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주주명부폐쇄기간또는기준일설정              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주주총회소집결의              (임시주주총회),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,투자판단관련주요경영사항              (경영지배인 사임),N/A,모니터링 필요
2026,금전대여결정              ,N/A,모니터링 필요
2026,주권매매거래정지기간변경              (개선기간 부여),N/A,모니터링 필요
2026,기타시장안내              (상장폐지 관련 이의신청서 접수 및 개선기간 부여),N/A,모니터링 필요
2026,투자판단관련주요경영사항              (경영지배인 선임의 건),N/A,모니터링 필요
2026,[기재정정]주주총회소집결의              (임시주주총회),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,주권매매거래정지기간변경              (상장폐지사유 발생),N/A,모니터링 필요
2026,기타시장안내              (상장폐지 관련),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,[기재정정]주주총회소집결의              (임시주주총회),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,기타경영사항(자율공시)              (감사보고서 제출 지연),N/A,모니터링 필요
2026,사업보고서제출기한연장신고서 (2025.12),N/A,모니터링 필요
2026,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,[기재정정]의결권대리행사권유참고서류,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,[기재정정]주주총회소집결의              (임시주주총회)),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,주주총회소집결의              ,N/A,모니터링 필요
