=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
053950,경남제약,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,59000422760,-3391107890,-7828206400,0,0.0,16739879000,93770775120,138268733080,44497957960,-4.6016,47.45,27432000000,0.0,거래 정상
2023-12-31,59303484050,-3586713370,-20997237940,1002000,0.0,17796701000,79361571260,166609183290,76776858460,-3.4593,96.74,0,0.51,거래 정상
2024-12-31,60792073200,-242820730,10076354380,0,0.0,7814735800,115223111870,166583877160,51360765290,-13.7443,44.58,19460000000,2.51,거래 정상
2025-12-31,55944199110,-1731948300,-9006666810,0,0.0,7814735800,108299757880,155630389430,47330631540,-12.8584,43.7,0,-7.97,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"19,460,000,000 원"
최대주주 및 특수관계인 지분율,18.5% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,임시주주총회결과              ,N/A,모니터링 필요
2026,증권신고서(지분증권),N/A,모니터링 필요
2026,주요사항보고서(유상증자결정),N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,[기재정정]주주총회소집결의              (임시주주총회),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,전환가액의조정              ,N/A,모니터링 필요
2026,주권매매거래정지해제              (액면병합 주권 변경상장),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2026,전환가액의조정              ,N/A,모니터링 필요
2026,"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)",N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,대표이사변경              ,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,[기재정정]주주총회소집결의              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,전환가액의조정              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,주식병합결정              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,전환가액의조정              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,전환가액의조정              ,N/A,모니터링 필요
2026,전환가액의조정              ,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,전환가액의조정              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,전환가액의조정              ,N/A,모니터링 필요
2025,전환가액의조정              ,N/A,모니터링 필요
2025,전환가액의조정              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,전환가액의조정              ,N/A,모니터링 필요
2025,전환가액의조정              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,전환가액의조정              ,N/A,모니터링 필요
2025,전환가액의조정              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,전환가액의조정              ,N/A,모니터링 필요
2025,전환가액의조정              ,N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,전환가액의조정              ,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2025,전환사채(해외전환사채포함)발행후만기전사채취득              ,N/A,모니터링 필요
2025,전환가액의조정              ,N/A,모니터링 필요
2025,전환사채(해외전환사채포함)발행후만기전사채취득              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,전환가액의조정              ,N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,전환가액의조정              ,N/A,모니터링 필요
2024,가족친화인증ㆍ유효기간연장ㆍ인증취소(자율공시)              ,N/A,모니터링 필요
2024,전환가액의조정              ,N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,전환사채(해외전환사채포함)발행후만기전사채취득              ,N/A,모니터링 필요
2024,전환가액의조정              ,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
