=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
059210,메타바이오메드,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,68941504010,5365035800,2627770560,4342525300,6.3,11931175500,60590989200,121072391470,57633122290,-4.0784,95.12,-63258720,0.0,거래 정상
2023-12-31,83100721820,10747626470,10080409560,4538197360,5.46,11931175500,70047571260,130124257560,57462375610,-4.871,82.03,0,20.54,거래 정상
2024-12-31,94036051020,17221764680,22402486130,5139727070,5.47,11931175500,93338757170,177295082230,81184863400,-6.8231,86.98,-140738110,13.16,거래 정상
2025-12-31,102951318550,21428131950,10988343800,4966985350,4.82,14047150500,124316460870,186603753590,61730262190,-7.8499,49.66,0,9.48,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,0회 실시
최근 3개년 유상증자 조달금액,"-140,738,110 원"
최대주주 및 특수관계인 지분율,18.5% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,[기재정정]분기보고서 (2026.03),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,[기재정정]주요사항보고서(자기주식취득결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,주요사항보고서(자기주식취득결정),N/A,모니터링 필요
2026,임시주주총회결과              ,N/A,모니터링 필요
2026,[기재정정]임원ㆍ주요주주특정증권등소유상황보고서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]임원ㆍ주요주주특정증권등소유상황보고서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,[기재정정]주주총회소집결의              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주주총회소집결의              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2026,기업가치제고계획(자율공시)              ,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,[기재정정]현금ㆍ현물배당결정              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2026,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2026,주식소각결정              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,자기주식처분결과보고서,N/A,모니터링 필요
2026,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,[기재정정]단일판매ㆍ공급계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,신탁계약해지결과보고서,N/A,모니터링 필요
2025,신탁계약해지결과보고서,N/A,모니터링 필요
2025,신탁계약해지결과보고서,N/A,모니터링 필요
2025,신탁계약해지결과보고서,N/A,모니터링 필요
2025,신탁계약해지결과보고서,N/A,모니터링 필요
2025,주요사항보고서(자기주식취득신탁계약해지결정),N/A,모니터링 필요
2025,주요사항보고서(자기주식취득신탁계약해지결정),N/A,모니터링 필요
2025,주요사항보고서(자기주식취득신탁계약해지결정),N/A,모니터링 필요
2025,주요사항보고서(자기주식취득신탁계약해지결정),N/A,모니터링 필요
2025,주요사항보고서(자기주식취득신탁계약해지결정),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,신탁계약해지결과보고서,N/A,모니터링 필요
2025,주요사항보고서(자기주식취득신탁계약해지결정),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주요사항보고서(제3자의전환사채매수선택권행사),N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,전환가액의조정              ,N/A,모니터링 필요
2025,전환청구권행사              ,N/A,모니터링 필요
2025,전환청구권행사              ,N/A,모니터링 필요
2025,[연장결정]주요사항보고서(자기주식취득신탁계약체결결정),N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,[기재정정]사업보고서 (2024.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,신규시설투자등              ,N/A,모니터링 필요
2025,[기재정정]의결권대리행사권유참고서류,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,전환가액의조정              ,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,[연장결정]주요사항보고서(자기주식취득신탁계약체결결정),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,[연장결정]주요사항보고서(자기주식취득신탁계약체결결정),N/A,모니터링 필요
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,소속부변경              ,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,감사보고서제출              ,N/A,모니터링 필요
2024,[기재정정]의결권대리행사권유참고서류,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]의결권대리행사권유참고서류,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[연장결정]주요사항보고서(자기주식취득신탁계약체결결정),N/A,모니터링 필요
2024,[첨부정정]현금ㆍ현물배당결정              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,의결권대리행사권유참고서류,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2024,주주총회소집결의              ,N/A,모니터링 필요
2024,[첨부정정]매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
