=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
067370,선바이오,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,633230600,0.0,거래 정상
2022-12-31,7420394140,190910790,869325800,1265336000,17.05,6156777500,23839290990,42898794780,19059503590,-2.872,79.95,6518380250,0.0,거래 정상
2023-12-31,12291883590,5192340030,4606741840,1360034000,11.06,6156777500,28105454690,47663471580,19558016690,-3.565,69.59,0,65.65,거래 정상
2024-12-31,8682778980,-533239230,-104381110,4409005000,50.78,6156777500,27078174210,61017212300,33939038500,-3.3981,125.34,0,-29.36,거래 정상
2025-12-31,13672512810,5036101250,2793422110,1270293000,9.29,6156777500,28871767140,60680113160,31808345740,-3.6894,110.17,0,57.47,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,0회 실시
최근 3개년 유상증자 조달금액,0 원
최대주주 및 특수관계인 지분율,31.73% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,[기재정정]분기보고서 (2025.09),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,전환가액의조정              (제4회차),N/A,모니터링 필요
2025,주식소각결정              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,신탁계약해지결과보고서,N/A,모니터링 필요
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,자기주식취득결과보고서,N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,전환가액의조정              (제4회차),N/A,모니터링 필요
2025,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2025,본점소재지변경              ,N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,주요사항보고서(자기주식취득신탁계약체결결정),N/A,모니터링 필요
2025,[기재정정]사업보고서 (2024.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
