=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
083790,CG인바이츠,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,4321329650,-23937409590,-23868946510,6304540000,145.89,35373243000,188275739660,322613063630,129190035450,-4.3225,68.62,27284058770,0.0,거래 정상
2023-12-31,4878663470,-31438778760,-48923631400,7182167000,147.22,38447091000,145292993240,243115541570,97822548330,-2.779,67.33,62427998590,12.9,거래 정상
2024-12-31,7253270320,-38487337660,-51544107400,11318493000,156.05,38447091000,98517864330,260465309670,139666301070,-1.5624,141.77,0,48.67,거래 정상
2025-12-31,27391445360,-26099631990,-3520966900,4424008000,16.15,38447091000,105152742370,224109074620,105433901900,-1.735,100.27,0,277.64,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"62,427,998,590 원"
최대주주 및 특수관계인 지분율,18.5% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,불성실공시법인지정예고              (공시변경),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,단일판매ㆍ공급계약해지              ,N/A,모니터링 필요
2026,[기재정정]대표이사변경              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,대표이사변경              ,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,[기재정정]단일판매ㆍ공급계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2026,영업정지(자율공시)(종속회사의주요경영사항)              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
