=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
086820,바이오솔루션,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,169423900,0.0,거래 정상
2022-12-31,10101642600,-5288829660,-8087231570,3837468850,37.99,4071713000,43775099760,91730550820,47955451540,-9.751,109.55,350000000,0.0,거래 정상
2023-12-31,12461714310,-5142015620,-1356483680,4387938050,35.21,4071713000,42129634530,92347452680,50217819490,-9.3469,119.2,0,23.36,거래 정상
2024-12-31,12888526970,-5069222560,-11928380880,5754752860,44.65,4071713000,31257447780,67464079620,36206631840,-6.6767,115.83,0,3.42,거래 정상
2025-12-31,15199886700,-4340637830,273360990,6306198330,41.49,12146126000,32003384940,68480637020,36477252080,-1.6349,113.98,339991940,17.93,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"339,991,940 원"
최대주주 및 특수관계인 지분율,17.66% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,전환청구권행사              ,N/A,모니터링 필요
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,투자판단관련주요경영사항(임상시험계획승인신청등결정)              (펠렛형 동종 연골세포치료제(카티로이드)의 호주 제1/2상 임상시험계획 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험계획승인신청)              (동종 연골세포 스페로이드(스페로큐어)의 제1/2a상 임상시험계획 승인신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,투자판단관련주요경영사항(임상시험계획승인신청)              (펠렛형 동종 연골세포치료제(카티로이드)의 호주 제1/2상 임상시험계획 승인신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,금전대여결정              ,N/A,모니터링 필요
2025,투자판단관련주요경영사항              (펠렛형 동종 연골세포치료제(카티로이드)의 제1/2상 임상시험계획 승인신청 반려),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,권리락              (무상증자),N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,주요사항보고서(무상증자결정),N/A,모니터링 필요
2025,주권매매거래정지              (무상증자),N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험결과)              (카티라이프(바솔자가연골유래연골세포치료제)의 미국 2상 임상시험 최종결과보고서 수령),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,투자판단관련주요경영사항              (카티라이프(바솔자가연골유래연골세포)의 한국 식품의약품안전처 품목 변경허가 획득),N/A,모니터링 필요
2025,주식매수선택권부여에관한신고,N/A,모니터링 필요
2025,[기재정정]사업보고서 (2024.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험결과)              (카티라이프(바솔자가연골유래연골세포)의 제3상 최종 임상시험결과보고서 수령),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,투자판단관련주요경영사항(임상시험계획승인신청)              ,N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,대표이사변경              ,N/A,모니터링 필요
2024,소송등의판결ㆍ결정              ,N/A,모니터링 필요
2024,전환사채(해외전환사채포함)발행후만기전사채취득              ,N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,본점소재지변경              ,N/A,모니터링 필요
2024,기타시장안내              (업종변경 안내),N/A,모니터링 필요
2024,투자판단관련주요경영사항(임상시험계획자진취하등)              (펠렛형 동종 연골세포치료제카티로이드의 제1/2상 임상시험계획승인 신청IND 자진취하),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,투자판단관련주요경영사항(임상시험결과)              (카티라이프(바솔자가연골유래연골세포)의 임상 3상 시험 1차 유효성 평가(48주) 결과),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,주요사항보고서(영업정지),N/A,모니터링 필요
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,감사보고서제출              ,N/A,모니터링 필요
