=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
102940,코오롱생명과학,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,161583789630,10235906470,2133314840,13583001000,8.41,5706178000,167723249580,314117887370,146394637790,-28.3933,87.28,0,0.0,거래 정상
2023-12-31,124639034550,-24135339450,-30726340420,14891888000,11.95,5706178000,137671975680,309435551340,171763575650,-23.1268,124.76,0,-22.86,거래 정상
2024-12-31,161386743440,-51690745420,-93085909320,16439130000,10.19,6211693500,149337504170,419562620920,270225116740,-23.0414,180.95,20000051200,29.48,거래 정상
2025-12-31,208981597800,14805313130,24960208700,13907416000,6.65,6453559500,584030482230,914412572350,330382090110,-89.4974,56.57,0,29.49,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"20,000,051,200 원"
최대주주 및 특수관계인 지분율,18.5% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)],N/A,모니터링 필요
2026,특수관계인에대한출자,N/A,모니터링 필요
2026,[첨부추가]분기보고서 (2026.03),N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,대표이사변경              ,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,특수관계인으로부터자금차입,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,[기재정정]매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주요사항보고서(전환사채권발행결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,대규모기업집단현황공시[분기별공시(개별회사용)],N/A,모니터링 필요
2026,[기재정정]소송등의제기ㆍ신청(일정금액이상의청구)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]소송등의제기ㆍ신청(일정금액이상의청구)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,투자판단관련주요경영사항              (형사재판 2심 판결 결과),N/A,모니터링 필요
