=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
115180,큐리언트,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,914649100,0.0,거래 정상
2022-12-31,8468552820,-27474716300,-25457003000,19686991000,232.47,5781700000,30953596310,38411664410,3275403930,-4.3537,10.58,0,0.0,거래 정상
2023-12-31,9031807070,-23213207750,-21116659000,16764544000,185.62,13284491000,43876552000,49760959000,2612112690,-2.3028,5.95,28997699280,6.65,거래 정상
2024-12-31,9179834440,-27477790400,-24110971480,20434690000,222.6,16146335500,50095680240,58070561560,5386510820,-2.1026,10.75,21499993920,1.64,거래 정상
2025-12-31,6982624830,-29757156790,-30053954230,21517992000,308.16,18595933500,34042395360,61994415890,22802737580,-0.8306,66.98,21231379650,-23.94,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"71,729,072,850 원"
최대주주 및 특수관계인 지분율,26.05% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,[기재정정]주식매수선택권행사              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식매수선택권행사              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식매수선택권부여에관한신고,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,[기재정정]사업보고서 (2024.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]사업보고서 (2023.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]감사보고서제출              (2024 사업연도),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]감사보고서제출              (2023 사업연도),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,[기재정정]매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,[기재정정]파생상품거래손실발생              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,파생상품거래손실발생              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,기타시장안내              (연구개발 우수기업 매출액 특례적용 관련),N/A,모니터링 필요
2025,전환청구권행사              (제1회차),N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험결과)              (항암치료제 아드릭세티닙(Q702)의 미국 FDA 임상 1상 임상시험 결과보고서(CSR) 수령),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,[기재정정]유상증자결정(종속회사의주요경영사항)              ,"21,231,379,650",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]타법인주식및출자증권취득결정              (독일 자회사 QLi5 Therapeutics AG 출자 결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,유상증자결정(종속회사의주요경영사항)              ,"21,231,379,650",지분 희석 및 자금 사정 악화 반증 우려
2025,타법인주식및출자증권취득결정              ,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험계획승인신청등결정)              (만성 이식편대숙주질환 환자 대상 Q702 단독치료요법의 스페인 임상 제1b상 임상시험계획 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,증권발행결과(자율공시)              (제4회차 CB),N/A,모니터링 필요
2025,증권발행결과(자율공시)              (제3회차 BW),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주요사항보고서(전환사채권발행결정),N/A,모니터링 필요
2025,주요사항보고서(신주인수권부사채권발행결정),N/A,모니터링 필요
2025,전환주식의전환청구권행사              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,투자판단관련주요경영사항              (이중 페이로드 항체약물 접합체(ADC) 개발을 위한 플랫폼 기술 도입 계약 체결),N/A,모니터링 필요
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험계획승인신청)              (만성 이식편대숙주질환 환자 대상 Q702 단독치료요법의 유럽 임상 제1b상 임상시험계획 승인신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,전환주식의전환청구권행사              ,N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,증권발행결과(자율공시)              (제3자배정 유상증자),"21,231,379,650",지분 희석 및 자금 사정 악화 반증 우려
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식매수선택권부여에관한신고,N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,주요사항보고서(유상증자결정),"21,231,379,650",지분 희석 및 자금 사정 악화 반증 우려
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,기타시장안내              (연구개발 우수기업 매출액 특례적용 관련),N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험계획승인신청등결정)              (만성 이식편대숙주질환 환자 대상 Q702 단독치료요법의 미국 FDA 임상 제1b상 임상시험계획(IND) 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,투자판단관련주요경영사항(임상시험계획승인신청)              (만성 이식편대숙주질환 환자 대상 Q702 단독치료요법의 미국 FDA 임상 제1b상 임상시험계획승인신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,증권발행결과(자율공시)              (제2회차 CB),N/A,모니터링 필요
2024,주요사항보고서(전환사채권발행결정),N/A,모니터링 필요
2024,주요사항보고서(자본으로인정되는채무증권발행결정),N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,[기재정정]주식등의대량보유상황보고서(약식),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]주식등의대량보유상황보고서(약식),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2024,임시주주총회결과              ,N/A,모니터링 필요
2024,의결권대리행사권유참고서류,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,투자판단관련주요경영사항(임상시험계획변경승인)              (항암치료제 Q901 단독요법 및 병용요법에 대한 식품의약품안전처(MFDS) 임상 제1/2상 임상시험계획변경승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,주주총회소집결의              (임시주주총회),N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,증권발행결과(자율공시)              (제3자배정 유상증자),"21,499,993,920",지분 희석 및 자금 사정 악화 반증 우려
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
