=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
141080,리가켐바이오,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,33412042600,-50375099440,-45091793570,51109698000,152.97,12751510500,219598926030,252530449540,32931523510,-16.2214,15.0,3389740500,0.0,거래 정상
2023-12-31,34145640060,-80822343240,-73703570470,79608768000,233.14,14060155000,148221267200,189502178850,41280911650,-9.5419,27.85,3207369480,2.2,거래 정상
2024-12-31,125898140990,-20913488440,7800099570,113185996000,89.9,18305169000,615998105850,738382908190,122384802330,-32.6516,19.87,475677051500,268.71,거래 정상
2025-12-31,141553069340,-106485861440,-74277654740,216908079000,153.23,18305169000,507613912380,701814921200,160694609940,-26.7306,31.66,7238893000,12.43,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"486,123,313,980 원"
최대주주 및 특수관계인 지분율,29.27% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)],N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,[기재정정]기업설명회(IR)개최              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,투자판단관련주요경영사항(임상시험계획승인신청등결정)              (CLDN18.2 항체-약물 접합체 (ADC) LCB02A의 제 1/2상 임상시험의 미국 임상시험계획(IND) 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2026,대표이사변경              ,N/A,모니터링 필요
2026,수시공시의무관련사항(공정공시)              (대표이사 변경 예정),N/A,모니터링 필요
2026,투자판단관련주요경영사항(임상시험계획승인신청)              (CLDN18.2 항체-약물 접합체 (ADC) LCB02A의 제 1/2상 임상시험의 미국 임상시험계획(IND) 승인 신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2026,주식매수선택권행사              ,N/A,모니터링 필요
2026,투자판단관련주요경영사항              (신규 기전 신약 연구개발을 위한 기술도입 계약 체결),N/A,모니터링 필요
2026,투자판단관련주요경영사항              (신규 항체-약물 결합체(ADC) 연구개발을 위한 공동연구 및 항체 기술도입 계약 해지),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,주식매수선택권부여에관한신고,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,신탁계약해지결과보고서,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,투자판단관련주요경영사항              (신규 항체약물 결합체(ADC) 연구개발을 위한 항체 기술도입 계약 체결 ),N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,자기주식처분결과보고서,N/A,모니터링 필요
2025,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,투자판단관련주요경영사항              (신규 항체-약물 결합체(ADC) 연구개발을 위한 공동연구 및 항체 기술도입 계약 체결),N/A,모니터링 필요
2025,투자판단관련주요경영사항              (LCB97관련 마일스톤 기술료 수령),N/A,모니터링 필요
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,신탁계약에의한취득상황보고서,N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,투자판단관련주요경영사항              ('LCB97'관련 마일스톤 기술료 수령),N/A,모니터링 필요
2025,투자판단관련주요경영사항              (신규 항체-약물 결합체(ADC) 연구개발을 위한 공동연구 및 항체 기술도입 계약 체결),N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,투자판단관련주요경영사항              (신규 항체-약물 결합체(ADC) 연구개발을 위한 항체 기술도입 계약 체결),N/A,모니터링 필요
2025,자기주식처분결과보고서,N/A,모니터링 필요
2025,신탁계약해지결과보고서,N/A,모니터링 필요
2025,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2025,주요사항보고서(자기주식취득신탁계약해지결정),N/A,모니터링 필요
2025,주식매수선택권부여에관한신고,N/A,모니터링 필요
2025,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,주요사항보고서(자기주식취득신탁계약체결결정),N/A,모니터링 필요
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,투자판단관련주요경영사항              ('LCB97'관련 마일스톤 기술료 수령),N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,투자판단관련주요경영사항              (신규 항체-약물 결합체(ADC) 연구개발을 위한 항체 기술도입 계약 체결),N/A,모니터링 필요
2025,신탁계약에의한취득상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2024,투자판단관련주요경영사항(임상시험결과)              (메티실린 내성 황색포도상구균 (MRSA) 균혈증 치료제 델파졸리드(LCB01-0371)의 제 2a상 임상시험 결과),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,기업설명회(IR)개최              ,N/A,모니터링 필요
2024,투자판단관련주요경영사항              (LCB97 관련 마일스톤 기술료 수령),N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,주요사항보고서(자기주식취득신탁계약체결결정),N/A,모니터링 필요
2024,투자판단관련주요경영사항              (항체-약물 복합체(ADC) 멀티타겟 대상 공동연구 및 원천기술 기술이전계약 체결),N/A,모니터링 필요
2024,"투자판단관련주요경영사항              (LCB97(L1CAM-ADC,항체-약물 결합체)대상 기술이전계약 체결)",N/A,모니터링 필요
2024,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2024,기업설명회(IR)개최              ,N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
