=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
153710,옵티팜,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,435000000,0.0,거래 정상
2022-12-31,16008196850,-2188283640,-2044630870,2631853700,16.44,7334979000,29011304670,41182276420,12170971760,-2.9552,41.95,250500000,0.0,거래 정상
2023-12-31,17372567550,-2630945360,-2436687420,2945832910,16.96,7334979000,25144343540,39275370580,14131027830,-2.428,56.2,0,8.52,거래 정상
2024-12-31,19636227400,-2451780390,-2356570950,2802039170,14.27,7334979000,27335442890,43318838510,15983394830,-2.7267,58.47,0,13.03,거래 정상
2025-12-31,22344530940,-2414037350,-2499218510,2821188980,12.63,7334979000,25400411530,40769326780,15368914290,-2.4629,60.51,0,13.79,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,0회 실시
최근 3개년 유상증자 조달금액,0 원
최대주주 및 특수관계인 지분율,41.0% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
