=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
187660,페니트리움바이오,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,17064741600,0.0,거래 정상
2022-12-31,14882555780,-754740370,266502930,587009260,3.94,2183625000,30340609790,46292405210,15582607330,-12.8946,51.36,9999958400,0.0,거래 정상
2023-12-31,13790195690,-1911004770,-2970313220,569658910,4.13,2183625000,27150789790,44214193720,17086611370,-11.4338,62.93,0,-7.34,거래 정상
2024-12-31,9744986670,-15932446070,-20095955930,10725498870,110.06,4298917900,6822017440,28526620620,21898111400,-0.5869,320.99,0,-29.33,거래 정상
2025-12-31,9273012790,-7376237000,-14829730970,2124815000,22.91,5546625300,21526941760,32792161620,11265219700,-2.8811,52.33,0,-4.84,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,0회 실시
최근 3개년 유상증자 조달금액,0 원
최대주주 및 특수관계인 지분율,43.77% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주요사항보고서(유상증자결정),N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,정정신고서제출요구( 2026.04.30. 제출 증권신고서(지분증권) ),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,투자판단관련주요경영사항(임상시험계획변경승인신청)              ((불응성/재발성 고형암 대상 펨브롤리주맙과 PenetriumTM 병용요법 1상 임상시험계획 변경승인 신청)),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2026,[정정제출요구]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,주요사항보고서(유상증자결정),N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,[기재정정]단일판매ㆍ공급계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,주식매수선택권부여에관한신고,N/A,모니터링 필요
2026,상호변경안내              ,N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,조회공시요구(현저한시황변동)에대한답변(미확정)              ,N/A,경영 투명성 또는 중요 정보 발생 의혹 제기
2026,[기재정정]주주총회소집공고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,조회공시요구(현저한시황변동)              ,N/A,경영 투명성 또는 중요 정보 발생 의혹 제기
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,파생상품거래손실발생              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,[기재정정]증권발행결과(자율공시)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,합병등종료보고서(자산양수도),N/A,모니터링 필요
2025,증권발행결과(자율공시)              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험계획승인신청등결정)              (불응성/재발성 고형암 대상 펨브롤리주맙과 PenetriumTM 병용요법 1상 임상시험계획 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,주요사항보고서(타법인주식및출자증권양수결정),N/A,모니터링 필요
2025,주요사항보고서(유상증자결정),N/A,지분 희석 및 자금 사정 악화 반증 우려
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,단기차입금증가결정              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,전환청구권행사              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,전환청구권행사              ,N/A,모니터링 필요
2025,전환청구권행사              ,N/A,모니터링 필요
