=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
196170,알테오젠,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,28806344490,-29373680150,-8146003030,18659901400,64.78,25759309500,148758951380,245490136090,100108123090,-4.775,67.3,2720906620,0.0,거래 정상
2023-12-31,96522928880,-9736838380,-3371764000,25305765910,26.22,26505913000,148114262930,256099994580,108258260240,-4.588,73.09,4391277060,235.08,거래 정상
2024-12-31,102854620800,25403990970,62252318990,24550051860,23.87,26659414000,273593211290,409011974210,134920913120,-9.2625,49.31,12713385860,6.56,거래 정상
2025-12-31,215858918950,106900077240,141666024710,37047794810,17.16,26752894000,445194059000,698742517170,244299577020,-15.641,54.87,162428287850,109.87,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"179,532,950,770 원"
최대주주 및 특수관계인 지분율,25.7% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,"투자판단관련주요경영사항              (아이젠피주(ALT-L9, 아일리아 바이오시밀러) 식약처 품목허가 승인)",N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2026,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,투자판단관련주요경영사항              (재조합 인간 히알루로니다제 제품 ALT-B4 독점적 라이선스 계약 체결),N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2026,영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2026,투자판단관련주요경영사항              (인간 히알루로니다제 제품(ALTB4) 독점적 라이선스 계약 체결),N/A,모니터링 필요
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,대표이사변경              ,N/A,모니터링 필요
2025,임시주주총회결과              ,N/A,모니터링 필요
2025,투자판단관련주요경영사항              (ALTB4 라이선스 계약 관련 마일스톤 기술료 수령),N/A,모니터링 필요
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,상장폐지승인을위한의안상정결정              ,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,주주총회소집결의              (임시주주총회),N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,투자판단관련주요경영사항              (ALT-B4 관련 마일스톤 기술료 수령),N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,소속부변경              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,타법인주식및출자증권취득결정              ,N/A,모니터링 필요
2025,회사합병결정(종속회사의주요경영사항)              ,N/A,모니터링 필요
2025,주식매수선택권부여에관한신고,N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
