=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
206650,유바이오로직스,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,55466694230,-3768601560,-1098855360,15777040000,28.44,18222403500,124509697960,162065914930,42630827860,-5.8328,34.24,1093356400,0.0,거래 정상
2023-12-31,69365660610,7699109070,-13878968420,17881729000,25.78,18227403500,111372946280,151805702960,46988061430,-5.1102,42.19,61859000,25.06,거래 정상
2024-12-31,96035297830,34321335560,19116893100,13006225000,13.54,18267153500,132032512000,202084808060,70052296600,-6.2279,53.06,489786760,38.45,거래 정상
2025-12-31,149195024700,60663218130,41264003840,13205550000,8.85,18336153500,175356724070,240225281660,64868557560,-8.5634,36.99,923482280,55.35,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"1,475,128,040 원"
최대주주 및 특수관계인 지분율,22.58% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,단일판매ㆍ공급계약체결(자율공시)              ,N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,소속부변경              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,[기재정정]타법인주식및출자증권취득결정              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,타법인주식및출자증권취득결정              ,N/A,모니터링 필요
2026,기타경영사항(자율공시)              (주식기준성과보상제도(RSU)관련 자기주식 교부 예고),N/A,모니터링 필요
2026,주요사항보고서(자기주식취득신탁계약체결결정),N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,[기재정정]주주총회소집공고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,신규시설투자등              ,N/A,모니터링 필요
2026,단일판매ㆍ공급계약체결(자율공시)              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험계획승인신청등결정)              (SARS-CoV-2 변이주 대응 mRNA백신 mCOV의 제1상 임상시험계획 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험계획승인신청)              (SARSCoV2 변이주 대응 mRNA백신 mCOV의 제1상 임상시험계획승인 신청(IND)),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,투자판단관련주요경영사항              (유티프씨주멀티도즈(수출용) 백신의 한국 품목허가 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,[기재정정]신규시설투자등(자율공시)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,단일판매ㆍ공급계약체결(자율공시)              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,대표이사변경              ,N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,[기재정정]주주총회소집공고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,단일판매ㆍ공급계약체결(자율공시)              ,N/A,모니터링 필요
2025,단일판매ㆍ공급계약체결              ,N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2025,단일판매ㆍ공급계약체결(자율공시)              ,N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2024,투자판단관련주요경영사항              (유티프-씨주멀티도즈(수출용) 백신의 한국 품목허가 신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,단일판매ㆍ공급계약체결(자율공시)              ,N/A,모니터링 필요
2024,본점소재지변경              ,N/A,모니터링 필요
2024,단일판매ㆍ공급계약체결(자율공시)              ,N/A,모니터링 필요
2024,투자판단관련주요경영사항(임상시험계획승인신청등결정)              (5가 수막구균 접합백신 EuNmCV5 유엔엠씨브이파이브 멀티주의 제2/3상 아프리카 임상시험계획 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,단일판매ㆍ공급계약체결(자율공시)              ,N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,단일판매ㆍ공급계약체결              ,N/A,모니터링 필요
2024,단일판매ㆍ공급계약체결              ,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,투자판단관련주요경영사항(임상시험결과)              (COVID-19 예방 합성항원 백신 유코백-19의 제3상 임상시험 결과),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,투자판단관련주요경영사항(임상시험계획자진취하등)              (COVID-19 예방 백신 유코백-19 추가접종 1/2상 국내 임상시험 조기종료),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,투자판단관련주요경영사항(임상시험계획승인신청등결정)              (5가 수막구균 접합백신 EuNmCV-5 유엔엠씨브이-파이브 멀티주의 제2/3상 아프리카 임상시험계획 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,투자판단관련주요경영사항(임상시험계획승인신청)              (5가 수막구균 접합백신 EuNmCV-5 유엔엠씨브이-파이브 멀티주의 제2/3상 아프리카 임상시험계획승인 신청IND),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,투자판단관련주요경영사항(임상시험계획승인신청등결정)              (대상포진 예방 백신 EuHZV(유에이치지브이)주의 제1상 국내 임상시험계획 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,[기재정정]주주총회소집공고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,[기재정정]매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,감사보고서제출              ,N/A,모니터링 필요
2024,[기재정정]임원ㆍ주요주주특정증권등소유상황보고서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,의결권대리행사권유참고서류,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,주식매수선택권부여에관한신고,N/A,모니터링 필요
2024,주주총회소집결의              ,N/A,모니터링 필요
2024,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
