=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
214370,케어젠,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,124677940,0.0,거래 정상
2022-12-31,69097674880,33625928790,27266928430,6284538000,9.1,5371500000,215977998060,234070032770,18092034700,-39.2081,8.38,0,0.0,거래 정상
2023-12-31,79209511670,40377972880,39929880780,5823927000,7.35,5371500000,227298894770,247277104110,19978209340,-41.3157,8.79,0,14.63,거래 정상
2024-12-31,82585947780,34249787130,32313654380,7010749000,8.49,5371500000,222977779430,240696868060,17719088630,-40.5113,7.95,0,4.26,거래 정상
2025-12-31,72807992790,20399783880,20098549910,5756484000,7.91,5371500000,212474770610,231273422150,18798651530,-38.5559,8.85,0,-11.84,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,0회 실시
최근 3개년 유상증자 조달금액,0 원
최대주주 및 특수관계인 지분율,18.5% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,단일판매ㆍ공급계약해지(자율공시)              ,N/A,모니터링 필요
2026,단일판매ㆍ공급계약해지              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,결산실적공시예고              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,기업가치제고계획(자율공시)              ,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,"기타경영사항(자율공시)              (코글루타이드 (Korglutide), 미국식품의약국(USFDA)으로부터 NDI(New Dietary Ingredients) 로 승인)",N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,[기재정정]단일판매ㆍ공급계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,투자판단관련주요경영사항(임상시험결과)              (CG-P5 펩타이드 기반 신약 후보물질의 제1상 임상시험 결과 수령),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,[기재정정]투자판단관련주요경영사항(임상시험계획승인신청등결정)              (CGP5 펩타이드 기반 신약 후보물질의 제1상 임상시험계획(IND) 승인),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,[기재정정]투자판단관련주요경영사항(임상시험계획승인신청등결정)              (CGP5 펩타이드 기반 신약 후보물질의 제1상 임상시험계획(IND) 승인),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,본점소재지변경              ,N/A,모니터링 필요
2025,임시주주총회결과              ,N/A,모니터링 필요
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,[기재정정]주주총회소집결의              (임시주주총회),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,주주총회소집결의              (임시주주총회),N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2025,[기재정정]기업설명회(IR)개최              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,현금ㆍ현물배당결정              (중간배당),N/A,모니터링 필요
2025,[기재정정]투자판단관련주요경영사항(임상시험계획승인신청등결정)              (CGP5 펩타이드 기반 신약 후보물질의 제1상 임상시험계획(IND) 승인),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,중간(분기)배당을위한주주명부폐쇄(기준일)결정              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2025,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2025,"기타경영사항(자율공시)              (마이오키 (MyoKi), 미국식품의약국(USFDA)으로부터 NDI(New Dietary Ingredients) 로 승인)",N/A,모니터링 필요
2025,결산실적공시예고              ,N/A,모니터링 필요
2024,[기재정정]투자판단관련주요경영사항(임상시험계획승인신청등결정)              (CGP5 펩타이드 기반 신약 후보물질의 제1상 임상시험계획(IND) 승인),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2024,결산실적공시예고              ,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,자기주식취득결과보고서,N/A,모니터링 필요
2024,주요사항보고서(자기주식취득결정),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,[기재정정]임원ㆍ주요주주특정증권등소유상황보고서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]주식등의대량보유상황보고서(일반),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]임원ㆍ주요주주특정증권등소유상황보고서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]주식등의대량보유상황보고서(일반),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,[기재정정]주식등의대량보유상황보고서(일반),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2024,결산실적공시예고              ,N/A,모니터링 필요
2024,불성실공시법인지정              (공시변경 2건),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
