=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
215600,신라젠,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,100000000000,0.0,거래 정상
2022-12-31,5013362990,-24476203010,-24593128290,0,0.0,51433562500,78939492610,103446061540,24506568920,-0.5348,31.04,0,0.0,거래 정상
2023-12-31,3939558690,-21345852310,-20369238690,0,0.0,51433562500,57313962950,76714902100,19400939130,-0.1143,33.85,0,-21.42,거래 정상
2024-12-31,3926654280,-28057612720,-26525745510,0,0.0,68683562500,131817269890,149015779470,17198509580,-0.9192,13.05,103155000000,-0.33,거래 정상
2025-12-31,9225416500,-26320366500,-24189964050,0,0.0,69064918000,110121958140,116812366620,6690408460,-0.5945,6.08,1799997960,134.94,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,2회 실시
최근 3개년 유상증자 조달금액,"104,954,997,960 원"
최대주주 및 특수관계인 지분율,15.82% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,대표이사변경              ,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,주식매수선택권부여에관한신고,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험계획변경승인)              (진행성 고형암 또는 재발성/불응성 급성 골수성 백혈병 환자를 대상으로 BAL0891의 단일요법 및 항암화학요법 또는 티스렐리주맙과의 병용요법에 대한 미국 FDA 제1상 임상시험 계획(IND) 변경 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,[기재정정]투자판단관련주요경영사항(임상시험계획변경승인)              (진행성 고형암 또는 재발성/불응성 급성 골수성 백혈병 환자를 대상으로 BAL0891의 단일요법 및 항암화학요법 또는 티스렐리주맙과의 병용요법에 대한 식품의약품안전처 제1상 임상시험 계획 변경 승인),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,투자판단관련주요경영사항(임상시험계획변경승인)              (진행성 고형암 또는 재발성/불응성 급성 골수성 백혈병 환자를 대상으로 BAL0891의 단일요법 및 항암화학요법 및 티스렐리주맙과의 병용요법에 대한 식품의약품안전처 제1상 임상시험 계획 변경 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,[기재정정]사업보고서 (2024.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,불성실공시법인지정              (공시변경),N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험계획변경승인신청)              (진행성 고형암 또는 재발성/불응성 급성 골수성 백혈병 환자를 대상으로 BAL0891의 단일요법 및 항암화학요법 및 티스렐리주맙과의 병용요법에 대한 미국 FDA 제1상 임상시험 계획 변경 승인 신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,불성실공시법인지정예고              (공시변경),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,합병등종료보고서(합병),N/A,모니터링 필요
2025,합병등종료보고서(자산양수도),N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험계획변경승인신청)              (진행성 고형암 또는 재발성/불응성 급성 골수성 백혈병 환자를 대상으로 BAL0891의 단일요법 및 항암화학요법 및 티스렐리주맙과의 병용요법에 대한 식품의약품안전처 제1상 임상시험 계획 변경 승인 신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
