=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
217330,싸이토젠,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,409950000,0.0,거래 정상
2022-12-31,760777440,-11497462610,-18771226000,3197919460,420.35,8934294000,5656217060,41220347990,35564130930,0.3669,628.76,1118843320,0.0,거래 정상
2023-12-31,3184360750,-11791605730,-15769500590,3117124240,97.89,11139413500,53355392640,74450069700,21094677050,-3.7898,39.54,40000000000,318.57,거래 정상
2024-12-31,10910643030,-10665600970,-17116994920,2839690340,26.03,11564773500,48583191250,72478061990,23535092600,-3.201,48.44,6500000440,242.63,거래 정상
2025-12-31,26054851080,-7479679390,-12342882560,1887610860,7.24,11564773500,35562320010,62240155860,26247322250,-2.0751,73.81,0,138.8,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,2회 실시
최근 3개년 유상증자 조달금액,"46,500,000,440 원"
최대주주 및 특수관계인 지분율,54.25% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,증권발행결과(자율공시)              (제7회차 CB),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등거래계획보고서,N/A,모니터링 필요
2026,주요사항보고서(전환사채권발행결정),N/A,모니터링 필요
2026,[기재정정]분기보고서 (2026.03),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,[기재정정]주요사항보고서(전환사채권발행결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,전환사채(해외전환사채포함)발행후만기전사채취득              (제6회차),N/A,모니터링 필요
2026,본점소재지변경              ,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,[기재정정]주주총회소집공고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,전환사채(해외전환사채포함)발행후만기전사채취득              ,N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,[기재정정]임원ㆍ주요주주특정증권등거래계획보고서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,대표이사변경              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
