=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
234080,JW생명과학,KOSPI,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,-6748523950,0.0,거래 정상
2022-12-31,188931165240,27089253980,14961266840,5736694000,3.04,39586385000,140332435130,252942118070,112609682930,-2.545,80.24,0,0.0,거래 정상
2023-12-31,206860371790,30861915570,28143966400,5161143000,2.49,39586385000,159393121640,255836393030,96443271380,-3.0265,60.51,0,9.49,거래 정상
2024-12-31,222478095660,35857989010,43987530990,4030477000,1.81,39586385000,200444748400,325323614440,124878866040,-4.0635,62.3,0,7.55,거래 정상
2025-12-31,257829408640,33244200300,28605864000,5549834000,2.15,39586385000,220578062720,318205789710,97627726990,-4.5721,44.26,0,15.89,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,0회 실시
최근 3개년 유상증자 조달금액,0 원
최대주주 및 특수관계인 지분율,43.71% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2026,기업가치제고계획(자율공시)              ,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,[기재정정]의결권대리행사권유참고서류,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주주총회소집공고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]현금ㆍ현물배당결정              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2026,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변경              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,기타경영사항(자율공시)              (배당기준일 변경 안내),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2025,[기재정정]반기보고서 (2025.06),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]분기보고서 (2025.03),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2025,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인은15%)이상변경              ,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2025,매출액또는손익구조30%(대규모법인15%)미만변경(자율공시)              ,N/A,모니터링 필요
2024,주요사항보고서(타법인주식및출자증권양수결정),N/A,모니터링 필요
2024,수시공시의무관련사항(공정공시)              ,N/A,모니터링 필요
2024,자산재평가결과(자율공시)              ,N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,자산재평가실시결정(자율공시)              ,N/A,모니터링 필요
2024,대표이사(대표집행임원)변경(안내공시)              ,N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2024,최대주주등소유주식변동신고서              ,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2024,대표이사(대표집행임원)변경(안내공시)              ,N/A,모니터링 필요
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,감사보고서제출              ,N/A,모니터링 필요
2024,의결권대리행사권유참고서류,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2024,주주총회소집결의              ,N/A,모니터링 필요
2024,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2024,매출액또는손익구조30%(대규모법인은15%)이상변경,N/A,모니터링 필요
2023,수시공시의무관련사항(공정공시),N/A,모니터링 필요
2023,분기보고서 (2023.09),N/A,모니터링 필요
2023,영업(잠정)실적(공정공시),N/A,모니터링 필요
2023,반기보고서 (2023.06),N/A,모니터링 필요
2023,영업(잠정)실적(공정공시),N/A,모니터링 필요
