=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
243070,휴온스,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,-240701580,0.0,거래 정상
2022-12-31,492386810760,40866897260,22444026550,36472466000,7.41,5967774500,282455781380,472626625340,185107014540,-46.3302,65.53,-254236320,0.0,거래 정상
2023-12-31,552006502260,56002317020,50472994760,32882941000,5.96,5989832500,325404470470,537285589020,206873327840,-53.3261,63.57,0,12.11,거래 정상
2024-12-31,590231059710,39695114390,29453533830,34872325000,5.91,5989832500,345970845830,606285225930,255690371370,-56.7597,73.91,-2079251050,6.92,거래 정상
2025-12-31,620768254710,45599953770,42660591060,41804888000,6.73,5989832500,373905688750,680281789530,265420454720,-61.4234,70.99,-3965457200,5.17,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,0회 실시
최근 3개년 유상증자 조달금액,"-6,044,708,250 원"
최대주주 및 특수관계인 지분율,44.82% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,[기재정정]주주총회소집결의              (임시주주총회),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주요사항보고서(회사합병결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주요사항보고서(회사합병결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,기타경영사항(자율공시)              (소규모합병 승인 이사회 결의(주주총회 갈음) 결과 보고),N/A,모니터링 필요
2026,주권매매거래정지해제              (우회상장 미해당),N/A,모니터링 필요
2026,주주총회소집결의              (임시주주총회),N/A,모니터링 필요
2026,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2026,주요사항보고서(회사합병결정),N/A,모니터링 필요
2026,주권매매거래정지              (우회상장여부 및 요건충족확인),N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,조회공시요구(풍문또는보도)에대한답변(미확정)              ,N/A,경영 투명성 또는 중요 정보 발생 의혹 제기
2026,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2026,중간(분기)배당을위한주주명부폐쇄(기준일)결정              ,N/A,모니터링 필요
2026,조회공시요구(풍문또는보도)              (계열회사 합병 추진설),N/A,경영 투명성 또는 중요 정보 발생 의혹 제기
2026,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2026,기업가치제고계획(자율공시)              (2026년 (주)휴온스 기업가치 제고 계획),N/A,모니터링 필요
2026,결산실적공시예고              ,N/A,모니터링 필요
2026,[첨부정정]주요사항보고서(회사합병결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2026,주요사항보고서(회사합병결정),N/A,모니터링 필요
2026,배당락              ,N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,투자판단관련주요경영사항(임상시험계획승인신청등결정)              (HUC1-394(NCP112)점안제 제 2상 임상시험의 한국 임상시험계획(IND) 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2026,[기재정정]타인에대한채무보증결정              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,타인에대한채무보증결정              ,N/A,모니터링 필요
2026,공정거래자율준수프로그램운영현황              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,연결재무제표기준영업실적등에대한전망(공정공시)              ,N/A,모니터링 필요
2026,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2026,수시공시의무관련사항(공정공시)              ,N/A,모니터링 필요
2026,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2026,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,N/A,모니터링 필요
2026,결산실적공시예고              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험계획승인신청)              (HUC1-394(NCP112)점안제 제 2상 임상시험의 한국 임상시험계획(IND) 승인 신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험결과)              ((HUC1394(NCP112 점안제) 임상 1상 결과)),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,증권발행결과(자율공시)              ,N/A,모니터링 필요
2025,자기주식처분결과보고서,N/A,모니터링 필요
