=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
263050,유틸렉스,KOSDAQ,Y,2026-02-06,2024-08-07,거래 정지

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,38981658800,0.0,거래 정상
2022-12-31,215662000,-36733227000,-33426599000,24639696000,11425.14,18381427500,87749735290,104462554510,13595823670,-3.7738,15.49,52178031090,0.0,거래 정상
2023-12-31,131654000,-29783868000,-27718480970,18504160000,14055.14,18381427500,60440864650,72704772810,9509069560,-2.2881,15.73,0,-38.95,투자 위험

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,3년 연속 30억 미만
최근 3개년 유상증자 횟수,2회 실시
최근 3개년 유상증자 조달금액,"91,159,689,890 원"
최대주주 및 특수관계인 지분율,20.16% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정지

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,주권매매거래정지기간변경              (상장폐지 사유 발생),N/A,모니터링 필요
2026,기타시장안내              (기업심사위원회 개최 결과 안내),N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,주권매매거래정지기간변경              (개선기간 부여),N/A,모니터링 필요
2026,기타시장안내              (상장폐지 관련 이의신청서 접수 및 개선기간 부여),N/A,모니터링 필요
2026,기타시장안내              (개선계획서 제출),N/A,모니터링 필요
2026,[기재정정]주주총회소집결의              (철회),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,기타주요경영사항              (임시주주총회 소집 철회),N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,주권매매거래정지기간변경              (회생절차 개시결정),N/A,모니터링 필요
2026,회생절차개시결정              ,N/A,모니터링 필요
2026,주권매매거래정지기간변경              (상장폐지 사유 발생),N/A,모니터링 필요
2026,기타시장안내              (상장폐지 관련),N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,주권매매거래정지기간변경              (상장적격성 실질심사 대상 결정),N/A,모니터링 필요
2026,기타시장안내              (상장적격성 실질심사 대상 결정),N/A,모니터링 필요
2026,[기재정정]내부결산시점관리종목지정ㆍ형식적상장폐지ㆍ상장적격성실질심사사유발생              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,기타경영사항(자율공시)              (감사보고서 지연 제출),N/A,모니터링 필요
2026,사업보고서제출기한연장신고서 (2025.12),N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,[기재정정]주주총회소집결의              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,기타시장안내              (실질심사 대상여부 결정을 위한 조사기간 연장 안내),N/A,모니터링 필요
2026,기타경영사항(자율공시)              (보전처분 및 포괄적금지명령 신청에 대한 결정),N/A,모니터링 필요
2026,주권매매거래정지기간변경              (회생절차개시신청),N/A,모니터링 필요
2026,주요사항보고서(회생절차개시신청),N/A,모니터링 필요
2026,기타시장안내(관리종목지정우려종목)              ,N/A,모니터링 필요
2026,내부결산시점관리종목지정ㆍ형식적상장폐지ㆍ상장적격성실질심사사유발생              ,N/A,모니터링 필요
2026,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2026,주주총회소집결의              (임시주주총회),N/A,모니터링 필요
2026,횡령ㆍ배임혐의진행사항              ,N/A,모니터링 필요
2026,기타시장안내              (상장적격성 실질심사 대상결정 기한 안내),N/A,모니터링 필요
2026,기타시장안내              (상장적격성 실질심사관련안내),N/A,모니터링 필요
2026,주권매매거래정지              (상장적격성 실질심사 대상 (사유발생)),N/A,모니터링 필요
2026,"불성실공시법인지정              (공시번복 1건, 공시불이행 3건)",N/A,모니터링 필요
2026,임시주주총회결과              ,N/A,모니터링 필요
2026,횡령ㆍ배임혐의진행사항              ,N/A,모니터링 필요
2026,[기재정정]단일판매ㆍ공급계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
