=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
287840,인투셀,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,140034560,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,0,-9461185270,-8666773590,7354437010,0.0,6487550000,29882838010,33348893470,3466055450,-3.6062,11.6,50796500,-100.0,거래 정상
2023-12-31,1616402530,-17389530300,-16775336030,17197792420,1063.95,6498850000,13227354050,25943285260,12715931200,-1.0353,96.13,107350000,0.0,투자 위험
2024-12-31,2905033090,-9790200730,-9912846870,7561101000,260.28,6642047000,7521499770,23711335090,16189835320,-0.1324,215.25,4228268000,79.72,투자 위험
2025-12-31,2299122470,-10300410140,-10603468800,6076309000,264.29,7500450000,24749293450,41253688510,16504395050,-2.2997,66.69,27643906200,-20.86,투자 위험

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,5년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"31,979,524,200 원"
최대주주 및 특수관계인 지분율,21.3% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,주식매수선택권부여에관한신고,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험계획변경승인)              (ITC6146RO의 한국 MFDS 임상1상 임상시험계획을 미국 FDA 승인된 최종 임상시험계획서와 동일하게 변경 신청하여 승인됨),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험계획변경승인신청)              (ITC6146RO의 한국 MFDS 임상1상 임상시험계획을 미국 FDA 승인된 최종 임상시험계획서와 동일하게 변경 신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,투자판단관련주요경영사항(임상시험계획승인신청등결정)              (ITC6146RO의 한국 MFDS 제1상 임상시험계획 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
