=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
290650,엘앤씨바이오,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,52572492150,9483841750,4544175310,2195267000,4.18,11388443500,97952027190,199725162710,91903982600,-7.601,93.83,0,0.0,거래 정상
2023-12-31,65926844210,8129326560,48361014770,3151504000,4.78,11388443500,146944834680,262230105850,105374593370,-11.903,71.71,0,25.4,거래 정상
2024-12-31,72032432110,3869170840,141595744540,4907272000,6.81,11388443500,280901810300,472149604370,180875569750,-23.6655,64.39,0,9.26,거래 정상
2025-12-31,85476414990,4415714230,-138174717180,4102461000,4.8,12355423000,198223908010,456637114140,248103676800,-15.0435,125.16,17312202100,18.66,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"17,312,202,100 원"
최대주주 및 특수관계인 지분율,24.58% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2026,연결재무제표기준영업(잠정)실적(공정공시)              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,전환청구권행사              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,기업가치제고계획(자율공시)              ,N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,[기재정정]주요사항보고서(유상증자결정),N/A,지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]주요사항보고서(유상증자결정),"17,312,202,100",지분 희석 및 자금 사정 악화 반증 우려
2025,증권발행결과(자율공시)              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,주요사항보고서(유상증자결정),"17,312,202,100",지분 희석 및 자금 사정 악화 반증 우려
2025,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2025,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,파생상품거래손실발생              ,N/A,모니터링 필요
2025,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]기타경영사항(자율공시)              (MegaShield®SP (메가쉴드®SP)의 척추 수술 후 유착 방지 효과 및 안전성에 대한 임상시험계획(IND) 승인),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,자기주식취득결과보고서,N/A,모니터링 필요
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,주요사항보고서(자기주식취득결정),N/A,모니터링 필요
2025,[기재정정]교환사채권발행결정(종속회사의주요경영사항)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주요사항보고서(전환사채권발행결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,교환사채권발행결정(종속회사의주요경영사항)              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,전환청구권행사              ,N/A,모니터링 필요
2025,[기재정정]전환청구권행사              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,전환청구권행사              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,주요사항보고서(제3자의전환사채매수선택권행사),N/A,모니터링 필요
2025,[기재정정]주요사항보고서(전환사채권발행결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,증권발행결과(자율공시)              ,N/A,모니터링 필요
2025,[기재정정]주식등의대량보유상황보고서(일반),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,증권발행결과(자율공시)              ,N/A,모니터링 필요
2025,주요사항보고서(전환사채권발행결정),N/A,모니터링 필요
2025,주요사항보고서(유상증자결정),"17,312,202,100",지분 희석 및 자금 사정 악화 반증 우려
2025,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,기업가치제고계획(자율공시)              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,[기재정정]의결권대리행사권유참고서류,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주주총회소집공고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주주총회소집결의              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,[기재정정]매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,합병등종료보고서(자산양수도),N/A,모니터링 필요
