=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
298060,풍전약품,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,907698850,0.0,거래 정상
2022-12-31,395982300,-12578927150,-22930003230,9311307920,2351.45,6060285000,24510961500,33019955290,8508993780,-3.0445,34.72,674377200,0.0,거래 정상
2023-12-31,695697910,-12997668090,-23961422030,9314916670,1338.93,10233624000,20473543660,25403787570,4930243910,-1.0006,24.08,19332689500,75.69,투자 위험
2024-12-31,824800620,-11307752550,-12377068010,7595841840,920.93,10233624000,14178820680,23169708260,8990887570,-0.3855,63.41,0,18.56,투자 위험
2025-12-31,23839029790,-4528614010,202502780,1937249560,8.13,22101588000,36070339110,51993772280,15923433170,-0.632,44.15,21926612410,2790.28,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,2회 실시
최근 3개년 유상증자 조달금액,"41,259,301,910 원"
최대주주 및 특수관계인 지분율,61.78% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,주권매매거래정지해제              (액면병합 주권 변경상장),N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,[기재정정]주주총회소집결의              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,"전환가액의조정              (제1회차,제2회차)",N/A,모니터링 필요
2026,"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)",N/A,모니터링 필요
2026,전환가액의조정              (제1회차),N/A,모니터링 필요
2026,전환가액의조정              (제2회차),N/A,모니터링 필요
2026,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,합병등종료보고서(합병),N/A,모니터링 필요
2026,[기재정정]정기주주총회결과              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,상호변경안내              ,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,[기재정정]주주총회소집공고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주식병합결정              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,소속부변경              ,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,주식병합결정              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,기타경영사항(자율공시)              (소규모합병 승인 이사회 결의 (주주총회 갈음) 결과보고),N/A,모니터링 필요
2026,임시주주총회결과              ,N/A,모니터링 필요
2026,[첨부정정]주요사항보고서(회사합병결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[첨부정정]주요사항보고서(회사합병결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2026,주요사항보고서(회사합병결정),N/A,모니터링 필요
2025,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주식매수선택권부여에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주주총회소집공고,N/A,모니터링 필요
2025,[기재정정]주주총회소집결의              (임시주주총회),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,주주총회소집결의              (임시주주총회),N/A,모니터링 필요
2025,합병등종료보고서(합병),N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,[기재정정]주요사항보고서(유상증자결정),"21,926,612,410",지분 희석 및 자금 사정 악화 반증 우려
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,증권발행결과(자율공시)              (제2회차 CB),N/A,모니터링 필요
2025,증권발행결과(자율공시)              (제3자배정 유상증자),"21,926,612,410",지분 희석 및 자금 사정 악화 반증 우려
2025,전환사채(해외전환사채포함)발행후만기전사채취득              (제1회차),N/A,모니터링 필요
2025,[기재정정]주요사항보고서(전환사채권발행결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,[첨부정정]주요사항보고서(회사합병결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,주요사항보고서(회사합병결정),N/A,모니터링 필요
2025,합병등종료보고서(자산양수도),N/A,모니터링 필요
2025,증권발행결과(자율공시)              (제1회차 CB),N/A,모니터링 필요
2025,주요사항보고서(전환사채권발행결정),N/A,모니터링 필요
2025,주요사항보고서(유상증자결정),"21,926,612,410",지분 희석 및 자금 사정 악화 반증 우려
2025,주요사항보고서(전환사채권발행결정),N/A,모니터링 필요
2025,주요사항보고서(타법인주식및출자증권양수결정),N/A,모니터링 필요
2025,[기재정정]임원ㆍ주요주주특정증권등소유상황보고서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주식등의대량보유상황보고서(일반),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,타인에대한담보제공결정              ,N/A,모니터링 필요
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,타인에대한담보제공결정              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,증권발행결과(자율공시)              (제3자배정 유상증자),"21,926,612,410",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]주요사항보고서(유상증자결정),"21,926,612,410",지분 희석 및 자금 사정 악화 반증 우려
2025,대표이사변경              ,N/A,모니터링 필요
2025,임시주주총회결과              ,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,[기재정정]주주총회소집결의              (임시주주총회),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,합병등종료보고서(자산양수도),N/A,모니터링 필요
2025,[기재정정]합병등종료보고서(자산양수도),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,합병등종료보고서(자산양수도),N/A,모니터링 필요
2025,증권발행결과(자율공시)              (제3자배정 유상증자),"21,926,612,410",지분 희석 및 자금 사정 악화 반증 우려
2025,기타주요경영사항              (신규시설투자등(CGMP) 신축 철회),N/A,모니터링 필요
2025,[기재정정]신규시설투자등              (철회),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주요사항보고서(타법인주식및출자증권양수결정),N/A,모니터링 필요
2025,주요사항보고서(유형자산양도결정),N/A,모니터링 필요
2025,주요사항보고서(유상증자결정),"21,926,612,410",지분 희석 및 자금 사정 악화 반증 우려
2025,주요사항보고서(유상증자결정),"21,926,612,410",지분 희석 및 자금 사정 악화 반증 우려
