=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
304360,에스바이오메딕스,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,12112652100,-3748041970,-6326936510,5488662190,45.31,5109888000,-3778530650,24357825130,23322795800,1.7395,9999.9,900025000,0.0,거래 정지
2023-12-31,13108378000,-5988043330,-10320888420,6507562390,49.64,5668538000,7010932890,31947219230,19593244340,-0.2368,279.47,14282000000,8.22,거래 정상
2024-12-31,13734027400,-5445268630,-6690716620,5849922470,42.59,5872898000,11864556790,44600754760,26289340320,-1.0202,221.58,7574431000,4.77,거래 정상
2025-12-31,16547626700,-8343993560,-8122245540,9178700680,55.47,6111612000,8676551460,41218860970,24493496340,-0.4197,282.3,1652960000,20.49,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"23,509,391,000 원"
최대주주 및 특수관계인 지분율,24.64% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2026,증권발행결과(자율공시)              (제7회차 CB),N/A,모니터링 필요
2026,증권발행결과(자율공시)              (제3자배정-전환우선주),N/A,모니터링 필요
2026,주요사항보고서(전환사채권발행결정),N/A,모니터링 필요
2026,주요사항보고서(유상증자결정),N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,본점소재지변경              ,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,[기재정정]의결권대리행사권유참고서류,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주주총회소집공고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,[기재정정]전환가액의조정              (제5회차),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,전환가액의조정              (제5회차),N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,[기재정정]신규시설투자등              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,[기재정정]주식등의대량보유상황보고서(일반),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,전환가액의조정              (제6회차),N/A,모니터링 필요
2025,전환가액의조정              (제5회차),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,신규시설투자등              ,N/A,모니터링 필요
2025,소속부변경              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,[기재정정]사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,[기재정정]주주총회소집공고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,소속부변경              ,N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,[첨부정정]의결권대리행사권유참고서류,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,주식매수선택권부여에관한신고,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,증권발행결과(자율공시)              (제6회차 CB),N/A,모니터링 필요
2024,주요사항보고서(전환사채권발행결정),N/A,모니터링 필요
2024,증권발행결과(자율공시)              (제5회차 CB),N/A,모니터링 필요
2024,[기재정정]주요사항보고서(전환사채권발행결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,주요사항보고서(전환사채권발행결정),N/A,모니터링 필요
2024,불성실공시법인지정              (공시불이행),N/A,모니터링 필요
2024,투자판단관련주요경영사항(임상시험결과)              (중증하지허혈 치료제 FECS-Ad(3D-A)의 제1/2a상 임상시험 결과),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,증권발행결과(자율공시)              (제3자배정 유상증자),"7,574,431,000",지분 희석 및 자금 사정 악화 반증 우려
2024,주요사항보고서(유상증자결정),"7,574,431,000",지분 희석 및 자금 사정 악화 반증 우려
2024,불성실공시법인지정예고              (공시불이행),N/A,모니터링 필요
2024,반기검토(감사)의견부적정등사실확인(자본잠식률100분의50이상또는자기자본10억원미만포함)              ,N/A,상장유지 위험 경보 및 관리종목 지정 우려
2024,파생상품거래손실발생              ,N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,조회공시요구(현저한시황변동)에대한답변(중요정보없음)              ,N/A,경영 투명성 또는 중요 정보 발생 의혹 제기
2024,조회공시요구(현저한시황변동)              ,N/A,경영 투명성 또는 중요 정보 발생 의혹 제기
2024,분기보고서 (2024.03),N/A,모니터링 필요
2024,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2024,조회공시요구(현저한시황변동)에대한답변(중요정보없음)              ,N/A,경영 투명성 또는 중요 정보 발생 의혹 제기
2024,조회공시요구(현저한시황변동)              ,N/A,경영 투명성 또는 중요 정보 발생 의혹 제기
2024,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2024,투자판단관련주요경영사항(임상시험계획자진취하등)              (큐어스킨주 (자가피부유래 섬유아세포 치료제)의 조건부 제조판매품목허가 자진취하 및 제3상 임상시험 조기종료),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,정기주주총회결과              ,N/A,모니터링 필요
2024,사업보고서 (2023.12),N/A,모니터링 필요
2024,감사보고서제출              ,N/A,모니터링 필요
2024,주주총회소집공고,N/A,모니터링 필요
2024,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2024,주주총회소집결의              ,N/A,모니터링 필요
2024,매출액또는손익구조30%(대규모법인은15%)미만변동(자율공시)              ,N/A,모니터링 필요
2023,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2023,주주명부폐쇄기간또는기준일설정,N/A,모니터링 필요
2023,분기보고서 (2023.09),N/A,모니터링 필요
2023,반기보고서 (2023.06),N/A,모니터링 필요
