=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
307280,원바이오젠,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,411262270,0.0,거래 정상
2022-12-31,26747721810,5150275570,3206114140,492095690,1.84,3645440800,26867318680,38932576210,12106993280,-6.3701,45.06,0,0.0,거래 정상
2023-12-31,29614740090,7122657250,5497215510,504146450,1.7,3695901300,32222149240,42903485570,10278715700,-7.7183,31.9,218325750,10.72,거래 정상
2024-12-31,30439668570,6406557380,5689675000,838473170,2.75,3695901300,37206873560,41269318150,4001792960,-9.0671,10.76,0,2.79,거래 정상
2025-12-31,35244285940,8192247200,6615249000,723488390,2.05,3695901000,42726088470,47625399900,5001859940,-10.5604,11.71,0,15.78,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,1회 실시
최근 3개년 유상증자 조달금액,"218,325,750 원"
최대주주 및 특수관계인 지분율,32.35% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,신탁계약에의한취득상황보고서,N/A,모니터링 필요
2026,[기재정정]신규시설투자등(자율공시)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,현금ㆍ현물배당결정              ,N/A,모니터링 필요
2025,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,주요사항보고서(자기주식취득신탁계약체결결정),N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,[기재정정]주식소각결정              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,신규시설투자등(자율공시)              ,N/A,모니터링 필요
2025,불성실공시법인미지정              (지정유예),N/A,모니터링 필요
2025,주식소각결정              ,N/A,모니터링 필요
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,불성실공시법인지정예고              (공시불이행),N/A,모니터링 필요
2025,소송등의판결ㆍ결정              ,N/A,모니터링 필요
2025,소송등의제기ㆍ신청(일정금액이상의청구)              ,N/A,모니터링 필요
2025,주권매매거래정지해제              (액면병합 주권 변경상장),N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
