=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
308430,셀비온,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,1762883710,-5303268170,-6382002580,3019232500,171.27,4852839500,2738432640,10036938000,7298505350,0.4357,266.52,19323200,0.0,거래 정상
2023-12-31,1471257190,-5043268230,-3632827370,3426025630,232.86,5385339500,7497483910,11345577820,3848093910,-0.3922,51.33,8308014400,-16.54,투자 위험
2024-12-31,2289802980,-7136638480,-7266102150,5295463090,231.26,6400504500,29575125700,34407912250,4832786540,-3.6207,16.34,28120697510,55.64,투자 위험
2025-12-31,1945073470,-8244608200,-7573629080,4972502300,255.65,6415755000,22786578550,35194689370,12408110820,-2.5517,54.45,292371940,-15.05,투자 위험

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,5년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"36,721,083,850 원"
최대주주 및 특수관계인 지분율,38.14% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,증권발행결과(자율공시)              (제3자배정-전환우선주),N/A,모니터링 필요
2026,증권발행결과(자율공시)              (제3회차 CB),N/A,모니터링 필요
2026,[기재정정]주요사항보고서(유상증자결정),N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,[기재정정]주요사항보고서(전환사채권발행결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,주요사항보고서(전환사채권발행결정),N/A,모니터링 필요
2026,주요사항보고서(유상증자결정),N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,주식매수선택권부여에관한신고,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,신규시설투자등              ,N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2025,투자판단관련주요경영사항              (Lu-177-DGUL(포큐보타이드 사테트라세탄) 식품의약품안전처 품목 조건부 허가 신청),N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험결과)              (전이성 거세저항성 전립선암 환자에서 Ga-68-NGUL / Lu-177-DGUL 의 제 1/2 상 임상시험의 최종결과보고서(CSR) 수령),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험계획승인신청등결정)              (전이성 거세 저항성 전립선암 환자에서 Lutetium(177Lu) DGUL(포큐보타이드) 과 Pembrolizumab(키트루다) 병용요법의 제1상 임상시험계획승인(IND)),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험결과)              (표준요법에 실패한 전이성 거세저항성 전립선암 환자에서 Lu177DGUL의 국내 임상 제2상 Topline data 수령),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,투자판단관련주요경영사항(임상시험계획승인신청)              (전이성 거세 저항성 전립선암 환자에서 Lutetium(177Lu) DGUL 과 Pembrolizumab 병용요법의 제 1상 임상시험계획승인신청(IND)),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,분기보고서 (2025.03),N/A,모니터링 필요
