=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
310210,보로노이,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,14783913200,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,9767826850,-17863482150,-19899662510,11726999000,120.06,6323934500,34258167610,63950031130,29691863520,-4.4172,86.67,53040140000,-33.93,거래 정상
2023-12-31,0,-31335510000,-36848289920,14464152000,0.0,8699403500,81343825330,94653233630,13309408300,-8.3505,16.36,64846656650,-100.0,투자 위험
2024-12-31,0,-36339050000,-32613098090,17894340000,0.0,9184903500,66412537870,73658644250,7246106380,-6.2306,10.91,4742124160,0.0,투자 위험
2025-12-31,7512306000,-54384536000,-42706333580,31012636000,412.82,9196760500,103795095820,171234323350,67439227520,-10.286,64.97,46370254860,0.0,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"115,959,035,670 원"
최대주주 및 특수관계인 지분율,39.56% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,[기재정정]투자판단관련주요경영사항(임상시험계획변경승인)              (VRN110755의 제 1/2상 임상시험),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,[기재정정]투자판단관련주요경영사항(임상시험계획변경승인신청)              (VRN110755의 제 1/2상 임상시험),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,주요사항보고서(전환사채매수선택권행사자지정),N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,[기재정정]투자판단관련주요경영사항(임상시험계획승인신청등결정)              (VRN101099의 제1상 임상시험계획 승인),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,투자판단관련주요경영사항(임상시험계획변경승인)              (VRN110755의 제 1/2상 임상시험),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,[기재정정]주주총회집중일개최사유신고              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,투자판단관련주요경영사항(임상시험계획변경승인신청)              (VRN110755의 제 1/2상 임상시험),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2026,[기재정정]투자판단관련주요경영사항(임상시험계획승인신청등결정)              (VRN110755의 제1상 임상시험계획 승인),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,"[기재정정]투자판단관련주요경영사항(임상시험계획승인신청)              (HER2 유발 고형암 환자에서 VRN101099의 안전성, 내약성, 약동학 및 유효성을 평가하기 위한 제1상 임상시험)",N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,자기주식처분결과보고서,N/A,모니터링 필요
2025,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,[기재정정]주식등의대량보유상황보고서(일반),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,자기주식처분결과보고서,N/A,모니터링 필요
2025,증권발행결과(자율공시)              ,N/A,모니터링 필요
2025,주요사항보고서(자기주식처분결정),N/A,모니터링 필요
2025,주요사항보고서(교환사채권발행결정),N/A,모니터링 필요
2025,[기재정정]투자판단관련주요경영사항(임상시험계획승인신청등결정)              (VRN110755의 제1상 임상시험계획 승인),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,투자판단관련주요경영사항              (VRN04 프로그램 연구에 대한 옵션 행사 및 자산 구매 계약 체결),N/A,모니터링 필요
2025,[기재정정]주식등의대량보유상황보고서(일반),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,"[기재정정]투자판단관련주요경영사항(임상시험계획승인신청)              (표피성장인자 수용체EGFR 돌연변이 비소세포폐암NSCLC 환자에서 VRN110755 의 안전성, 내약성, 약동학, 약력학 및 유효성을 평가하기 위한 제1상 시험)",N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,증권발행결과(자율공시)              ,N/A,모니터링 필요
2025,주요사항보고서(전환사채권발행결정),N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,"[기재정정]투자판단관련주요경영사항(임상시험계획승인신청)              (표피성장인자 수용체EGFR 돌연변이 비소세포폐암NSCLC 환자에서 VRN110755 의 안전성, 내약성, 약동학, 약력학 및 유효성을 평가하기 위한 제1상 시험)",N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,주식매수선택권부여에관한신고,N/A,모니터링 필요
2025,주식매수선택권부여에관한신고,N/A,모니터링 필요
2025,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,[기재정정]투자판단관련주요경영사항(임상시험계획승인신청등결정)              (VRN101099의 제1상 임상시험계획 승인),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
2025,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2024,투자판단관련주요경영사항(임상시험계획승인신청등결정)              (VRN101099의 제1상 임상시험계획 승인),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2024,"[기재정정]투자판단관련주요경영사항(임상시험계획승인신청)              (HER2 양성 고형암 환자에서 VRN101099의 안전성, 내약성, 약동학 및 유효성을 평가하기 위한 제1상 임상시험)",N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,투자판단관련주요경영사항(임상시험계획승인신청)              (VRN101099의 제1상 임상시험계획승인신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,[기재정정]주식매수선택권행사              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2024,주식매수선택권행사              ,N/A,모니터링 필요
2024,투자판단관련주요경영사항              (VRN04 프로그램 연구에 대한 옵션 계약 체결),N/A,모니터링 필요
2024,기업설명회(IR)개최              ,N/A,모니터링 필요
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,투자판단관련주요경영사항(임상시험계획자진취하등)              (VRN110755의 미국 FDA 임상 제1상 시험 자진 취하),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2024,전환청구권행사              (제1-1회차),N/A,모니터링 필요
2024,기타시장안내              (업종변경 안내),N/A,모니터링 필요
2024,"[기재정정]투자판단관련주요경영사항(임상시험계획승인신청)              (표피성장인자 수용체EGFR 돌연변이 비소세포폐암NSCLC 환자에서 VRN110755 의 안전성, 내약성, 약동학, 약력학 및 유효성을 평가하기 위한 제1상 시험)",N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,기업설명회(IR)개최              ,N/A,모니터링 필요
2024,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2024,주식매수선택권부여에관한신고,N/A,모니터링 필요
