=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
334970,프레스티지바이오로직스,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,88091813110,0.0,거래 정상
2022-12-31,15565700,-36631252800,-49717904470,30969919620,198962.59,30553984500,117611351030,258079235660,140467884640,-2.8493,119.43,60245545360,0.0,거래 정상
2023-06-30,1730263640,-22105262910,-17979638810,17385027440,1004.76,30553984500,99802775380,305753043340,205950267960,-2.2664,206.36,0,11015.87,투자 위험
2024-06-30,2169042470,-33429985020,-29373786040,9300845450,428.8,30750734500,71682122390,289414061370,217731938970,-1.3311,303.75,1310355000,25.36,투자 위험
2025-06-30,12533271500,-33681640250,-27469488620,2588359080,20.65,38876318500,135203347280,270286306630,135082959350,-2.4778,99.91,91041899200,477.83,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,2회 실시
최근 3개년 유상증자 조달금액,"92,352,254,200 원"
최대주주 및 특수관계인 지분율,18.5% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,단일판매ㆍ공급계약체결              ,N/A,모니터링 필요
2026,단일판매ㆍ공급계약해지              ,N/A,모니터링 필요
2026,[기재정정]단일판매ㆍ공급계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,단기차입금증가결정              ,N/A,모니터링 필요
2026,자산재평가결과(자율공시)              ,N/A,모니터링 필요
2026,자산재평가실시결정(자율공시)              ,N/A,모니터링 필요
2026,전환가액의조정              ,N/A,모니터링 필요
2026,반기보고서 (2025.12),N/A,모니터링 필요
2026,투자판단관련주요경영사항              (바이오의약품 위탁제조계약),N/A,모니터링 필요
2025,[기재정정]단일판매ㆍ공급계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,투자판단관련주요경영사항              (바이오의약품 위탁제조계약),N/A,모니터링 필요
2025,[기재정정]주요사항보고서(전환사채권발행결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,단일판매ㆍ공급계약체결              ,N/A,모니터링 필요
2025,단일판매ㆍ공급계약체결              ,N/A,모니터링 필요
2025,주권매매거래정지              (단일판매공급계약),N/A,모니터링 필요
2025,단일판매ㆍ공급계약체결              ,N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,[기재정정]단일판매ㆍ공급계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,[기재정정]주주총회소집공고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,단일판매ㆍ공급계약체결              ,N/A,모니터링 필요
2025,사업보고서 (2025.06),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,[기재정정]주주총회소집공고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주주총회소집결의              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주주총회소집결의              ,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
