=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
373110,엑셀세라퓨틱스,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,1020034630,-8298882610,-8342307920,2596285000,254.53,4379707000,8483478540,15509099160,7025620610,-0.937,82.82,16663800,0.0,거래 정상
2023-12-31,1123898370,-8668506030,-9280501100,2752734000,244.93,4581836000,2383503580,10468252670,8084749090,0.4798,339.2,2999998610,10.18,투자 위험
2024-12-31,1934344100,-9329894060,-9543173490,2727933000,141.03,5459231000,9121059290,16889657990,7768598700,-0.6708,85.17,15875138820,72.11,투자 위험
2025-12-31,1948989100,-10851766440,-10927088630,2575664000,132.15,8647197000,7138095130,15721418180,8583323040,0.1745,120.25,9220148160,0.76,투자 위험

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,5년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"28,095,285,590 원"
최대주주 및 특수관계인 지분율,19.78% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,[기재정정]사업보고서 (2025.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,[기재정정]주식등의대량보유상황보고서(일반),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,합병등종료보고서(자산양수도),N/A,모니터링 필요
2026,[기재정정]주요사항보고서(타법인주식및출자증권양도결정),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,주요사항보고서(타법인주식및출자증권양도결정),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,[기재정정]주식등의대량보유상황보고서(일반),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,증권발행실적보고서,N/A,모니터링 필요
2025,증권발행결과(자율공시)              (유상증자(주주배정 후 실권주 일반공모)),"9,220,148,160",지분 희석 및 자금 사정 악화 반증 우려
2025,유상증자또는주식관련사채등의청약결과(자율공시)              (주주배정후 실권주 일반공모),"9,220,148,160",지분 희석 및 자금 사정 악화 반증 우려
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,유상증자또는주식관련사채등의청약결과(자율공시)              (주주배정후 실권주 일반공모),"9,220,148,160",지분 희석 및 자금 사정 악화 반증 우려
2025,유상증자최종발행가액확정              ,"9,220,148,160",지분 희석 및 자금 사정 악화 반증 우려
2025,[기재정정]투자설명서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[발행조건확정]증권신고서(지분증권),N/A,모니터링 필요
2025,[기재정정]주요사항보고서(유상증자결정),"9,220,148,160",지분 희석 및 자금 사정 악화 반증 우려
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,[기재정정]투자설명서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[첨부정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,권리락              (유상증자),"9,220,148,160",지분 희석 및 자금 사정 악화 반증 우려
2025,[발행조건확정]증권신고서(지분증권),N/A,모니터링 필요
2025,[기재정정]주요사항보고서(유상증자결정),"9,220,148,160",지분 희석 및 자금 사정 악화 반증 우려
2025,유상증자1차발행가액결정              (주주배정후 실권주 일반공모),"9,220,148,160",지분 희석 및 자금 사정 악화 반증 우려
2025,임원ㆍ주요주주특정증권등거래계획보고서,N/A,모니터링 필요
2025,투자설명서,N/A,모니터링 필요
2025,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,기업설명회(IR)개최              ,N/A,모니터링 필요
2025,증권신고서(지분증권),N/A,모니터링 필요
2025,주요사항보고서(유상증자결정),"9,220,148,160",지분 희석 및 자금 사정 악화 반증 우려
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,주식매수선택권부여에관한신고,N/A,모니터링 필요
2025,정기주주총회결과              ,N/A,모니터링 필요
2025,사업보고서 (2024.12),N/A,모니터링 필요
2025,감사보고서제출              ,N/A,모니터링 필요
2025,의결권대리행사권유참고서류,N/A,모니터링 필요
2025,주주총회소집공고,N/A,모니터링 필요
