=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
424870,이뮨온시아,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,24500098000,0.0,거래 정상
2022-12-31,7733487500,-15073426500,-3491759020,14242990000,184.17,26140850000,-52407150500,35692867150,88100017640,3.0048,9999.9,0,0.0,거래 정지
2023-12-31,110000000,-11798668000,8864020830,6033764000,5485.24,26895567000,-34192029380,33795446620,67987475770,2.2713,9999.9,8000000200,-98.58,거래 정지
2024-12-31,654539170,-12575167830,-5687000020,7386119000,1128.45,36365047000,19423991860,26194829600,6770837740,0.4659,34.86,259000000,495.04,투자 위험
2025-12-31,111208740,-28008290260,-27363040570,19821276000,17823.49,37082534500,28415395990,33145591600,4730195610,0.2337,16.65,36021339200,-83.01,투자 위험

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,3년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"44,280,339,400 원"
최대주주 및 특수관계인 지분율,66.37% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,증권발행실적보고서,N/A,모니터링 필요
2026,증권발행결과(자율공시)              ,N/A,모니터링 필요
2026,[기재정정]분기보고서 (2026.03),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,유상증자또는주식관련사채등의청약결과(자율공시)              ,N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,[기재정정]투자설명서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[발행조건확정]증권신고서(지분증권),N/A,모니터링 필요
2026,[기재정정]주요사항보고서(유상증자결정),N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,유상증자최종발행가액확정              ,N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,권리락              (유상증자),N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,투자설명서,N/A,모니터링 필요
2026,[발행조건확정]증권신고서(지분증권),N/A,모니터링 필요
2026,[기재정정]주요사항보고서(유상증자결정),N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,유상증자1차발행가액결정              ,N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등거래계획보고서,N/A,모니터링 필요
2026,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주요사항보고서(유상증자결정),N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,증권신고서(지분증권),N/A,모니터링 필요
2026,주요사항보고서(유상증자결정),N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,조회공시요구(현저한시황변동)에대한답변(중요정보없음)              ,N/A,경영 투명성 또는 중요 정보 발생 의혹 제기
2025,조회공시요구(현저한시황변동)              ,N/A,경영 투명성 또는 중요 정보 발생 의혹 제기
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,주식매수선택권행사              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
