=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
456070,이엔셀,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,25664992420,0.0,거래 정상
2022-12-31,7367361500,-9315442180,-45566952970,5734861000,77.84,95538000,-23835876660,54746297430,78582174080,250.4911,9999.9,24222784500,0.0,거래 정지
2023-12-31,10525886940,-11755057310,-5053520470,6073017000,57.7,3868074500,38016331840,43981150800,5964818960,-8.8282,15.69,0,42.87,거래 정상
2024-12-31,7209317180,-15683110330,-15209838650,6637244000,92.06,5383088500,48168165270,55745013940,7576848670,-7.9481,15.73,24494295960,-31.51,거래 정상
2025-12-31,5258687300,-17840736750,-16107525260,7731697000,147.03,5459427500,39403689150,63712916700,24309226930,-6.2175,61.69,577529000,-27.06,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,2회 실시
최근 3개년 유상증자 조달금액,"25,071,824,960 원"
최대주주 및 특수관계인 지분율,30.65% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,단일판매ㆍ공급계약체결              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,"투자판단관련주요경영사항(임상시험계획변경승인)              (근감소증 환자를 대상으로 EN001의 유효성 및 안전성 평가를 위한 다기관, 무작위배정, 이중눈가림, 위약대조 임상시험 계획 변경승인)",N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,투자판단관련주요경영사항(임상시험결과)              ,N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2026,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,"투자판단관련주요경영사항(임상시험계획변경승인신청)              (근감소증 환자를 대상으로 EN001의 유효성 및 안전성 평가를 위한 다기관, 무작위배정, 이중눈가림, 위약대조, 제1/2상 임상시험계획 변경승인신청)",N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,"투자판단관련주요경영사항(임상시험결과)              (샤르코마리투스(CharcotMarieTooth disease, CMT) 1A형 환자를 대상으로 EN001의 유효성 및 안전성을 평가하기 위해 1b상 임상시험의 임상1b상 Topline 결과 발표)",N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2025,[기재정정]단일판매ㆍ공급계약체결              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
