=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
476040,오가노이드사이언스,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,438240710,-10552565960,-24111281700,6227399230,1421.0,1432900000,-39560232620,39759656500,79319889120,28.6085,9999.9,10998828450,0.0,거래 정지
2023-12-31,1591048390,-9794834290,-38687287000,4775997370,300.18,1432900000,-77337777670,32755403150,110024038240,54.9729,9999.9,250000000,263.05,거래 정지
2024-12-31,1953269920,-12234968360,-11246456000,5216836150,267.08,2634975000,15312547750,25892340920,10599709820,-4.8113,69.22,200001000,22.77,투자 위험
2025-12-31,2406581880,-16200194790,-15368103000,6606014260,274.5,3292680000,24662374490,37193923470,12349551950,-6.4901,50.07,25236227090,23.21,투자 위험

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,5년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"25,686,228,090 원"
최대주주 및 특수관계인 지분율,49.29% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,증권발행결과(자율공시)              (제1회차CB),N/A,모니터링 필요
2026,증권발행결과(자율공시)              (제3자배정유상증자),N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,주요사항보고서(유상증자결정),N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,주요사항보고서(전환사채권발행결정),N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,주식매수선택권부여에관한신고,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,투자판단관련주요경영사항(임상시험계획승인신청등결정)              (자가 성체줄기세포유래 장 오가노이드(ATORMC)의 제1상 임상시험계획 승인)),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2026,주주총회소집공고,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,[기재정정]매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,본점소재지변경              ,N/A,모니터링 필요
2026,대표이사변경              ,N/A,모니터링 필요
2026,주식매수선택권부여에관한신고,N/A,모니터링 필요
2026,임시주주총회결과              ,N/A,모니터링 필요
