=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
476060,온코닉테라퓨틱스,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),거래 정상

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,27497600000,0.0,거래 정상
2022-12-31,95000000,-14837552000,-14431902780,13183369000,13877.23,2890000000,-21936950290,30907260980,52844211280,8.5906,9999.9,26000552640,0.0,거래 정지
2023-12-31,21056033490,2230939490,1682463190,15761447000,74.85,2890000000,-19689660800,37547576120,57237236910,7.813,9999.9,0,22064.25,거래 정지
2024-12-31,14838322420,-4797790580,-8092612260,10928580000,73.65,5401980000,56018862980,60913428480,4894565490,-9.3701,8.74,19762112760,-29.53,거래 정상
2025-12-31,53391845890,12619100890,15783991460,9720592000,18.21,22244933000,72039390270,75706519970,3667129680,-2.2385,5.09,1279459480,259.82,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,2회 실시
최근 3개년 유상증자 조달금액,"21,041,572,240 원"
최대주주 및 특수관계인 지분율,51.01% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정상

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,투자판단관련주요경영사항(임상시험계획변경승인신청)              (자큐보구강붕해정(JLP2302)(자스타프라잔시트르산염)의 비위관투여 시 약동학 및 안전성 비교평가를 위한 제1상 임상시험계획승인(변경승인)신청),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,투자판단관련주요경영사항(임상시험계획변경승인신청)              (자큐보정(JP-1366)의 미란성 위식도역류질환 치료 후 유지요법에 대한 제3상 임상시험),N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2026,주식매수선택권부여에관한신고,N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
