=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
476830,알지노믹스,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,0,-19190939000,-31534497700,13644173000,0.0,1696100000,-62594958330,35437151570,98032109900,37.9052,9999.9,37202570500,0.0,거래 정지
2023-12-31,143607690,-15522149310,-13599580460,10126313000,7051.37,1698900000,-74731410720,20206736140,94938146850,44.9881,9999.9,42641200,0.0,거래 정지
2024-12-31,0,-12861965000,-18850121300,8413582000,0.0,1698900000,-93217117530,28146871460,121363988980,55.8691,9999.9,20300013650,-100.0,거래 정지
2025-12-31,7919875850,-14597361150,-103810493440,15074012000,190.33,6966921000,58877417840,62833585180,3956167330,-7.451,6.72,48698559750,0.0,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"69,041,214,600 원"
최대주주 및 특수관계인 지분율,29.73% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2026,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,파생상품거래손실발생              ,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,주주명부폐쇄기간또는기준일설정              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(약식),N/A,모니터링 필요
2025,주식매수선택권행사              ,N/A,모니터링 필요
2025,증권발행실적보고서,N/A,모니터링 필요
2025,[기재정정]투자설명서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[발행조건확정]증권신고서(지분증권),N/A,모니터링 필요
2025,[기재정정]주요사항보고서(유상증자결정),"48,698,559,750",지분 희석 및 자금 사정 악화 반증 우려
2025,투자설명서,N/A,모니터링 필요
2025,[첨부추가]증권신고서(지분증권),N/A,모니터링 필요
2025,[첨부정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]주요사항보고서(유상증자결정),"48,698,559,750",지분 희석 및 자금 사정 악화 반증 우려
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,주요사항보고서(유상증자결정),"48,698,559,750",지분 희석 및 자금 사정 악화 반증 우려
2025,반기보고서 (2025.06),N/A,모니터링 필요
2025,분기보고서 (2025.03),N/A,모니터링 필요
2025,[기재정정]사업보고서 (2024.12),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,사업보고서 (2024.12),N/A,모니터링 필요
2024,증권발행실적보고서,N/A,모니터링 필요
2024,투자설명서,N/A,모니터링 필요
2024,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]주요사항보고서(유상증자결정),"20,300,013,650",지분 희석 및 자금 사정 악화 반증 우려
2024,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,증권신고서(지분증권),N/A,모니터링 필요
2024,주요사항보고서(유상증자결정),"20,300,013,650",지분 희석 및 자금 사정 악화 반증 우려
2024,분기보고서 (2024.09),N/A,모니터링 필요
2024,[기재정정]증권발행실적보고서,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,증권발행실적보고서,N/A,모니터링 필요
2024,투자설명서,N/A,모니터링 필요
2024,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]주요사항보고서(유상증자결정),"20,300,013,650",지분 희석 및 자금 사정 악화 반증 우려
2024,[기재정정]주요사항보고서(유상증자결정),"20,300,013,650",지분 희석 및 자금 사정 악화 반증 우려
2024,주요사항보고서(유상증자결정),"20,300,013,650",지분 희석 및 자금 사정 악화 반증 우려
2024,[첨부정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,[기재정정]증권신고서(지분증권),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,증권신고서(지분증권),N/A,모니터링 필요
2024,주요사항보고서(유상증자결정),"20,300,013,650",지분 희석 및 자금 사정 악화 반증 우려
2024,주요사항보고서(유상증자결정),"20,300,013,650",지분 희석 및 자금 사정 악화 반증 우려
2024,[기재정정]반기보고서 (2024.06),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2024,반기보고서 (2024.06),N/A,모니터링 필요
2024,분기보고서 (2024.03),N/A,모니터링 필요
