=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
950160,코오롱티슈진,KOSDAQ,N,N/A,적용 안 됨 (정상 거래 중),투자 위험

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,거래 정상
2022-12-31,9456043000,-16303102000,-11136212000,7122609000,75.32,1747000,91488732000,109889896000,18401164000,-52368.0509,20.11,37366169000,0.0,거래 정상
2023-12-31,3706059000,-20504265000,-17224364000,5635193000,152.05,1875000,114963380000,134910381000,19947001000,-61312.8027,17.35,39267774000,-60.81,거래 정상
2024-12-31,5073437000,-21997353000,-33798813000,5611993000,110.62,2340000,145903678000,222288124000,76384446000,-62350.9991,52.35,46936558000,36.9,거래 정상
2025-12-31,5158705000,-22323132000,-192587477000,8549230000,165.72,2388000,64081001000,423990240000,359909239000,-26833.59,561.65,43462692000,1.68,거래 정상

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,0년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"129,667,024,000 원"
최대주주 및 특수관계인 지분율,18.5% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,투자 위험

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,파생상품거래손실발생              ,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,코스닥시장상장외국법인외부감사인선임ㆍ해임신고서              ,N/A,모니터링 필요
2026,증권발행결과(자율공시)              ,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,[기재정정]주주총회소집결의              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,주요사항보고서(유상증자결정),N/A,지분 희석 및 자금 사정 악화 반증 우려
2026,주식매수선택권부여에관한신고,N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등거래계획보고서,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,전환청구권행사              ,N/A,모니터링 필요
2026,[기재정정]소송등의제기ㆍ신청(일정금액이상의청구)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]소송등의제기ㆍ신청(일정금액이상의청구)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,파생상품거래손실발생              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,투자판단관련주요경영사항              (코오롱티슈진(주) 2심 무죄 판결),N/A,모니터링 필요
2026,소송등의판결ㆍ결정(일정금액이상의청구)              ,N/A,모니터링 필요
2026,소송등의제기ㆍ신청(일정금액이상의청구)              ,N/A,모니터링 필요
2026,[기재정정]소송등의제기ㆍ신청(일정금액이상의청구)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]소송등의제기ㆍ신청(일정금액이상의청구)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]소송등의제기ㆍ신청(일정금액이상의청구)              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
