=== 1. 기본 정보 (Company Basic Info) ===
기업코드,기업명,상장시장,실제거래정지여부,거래정지일,데이터분석차단기준일,최종판별등급
950220,네오이뮨텍,KOSDAQ,Y,2026-05-14,2024-11-12,거래 정지

=== 2. 재무 데이터 (Financial Data) ===
결산일,매출액,영업이익,당기순이익,R&D투자액,매출대비R&D비율(%),자본금,자본총계,자산총계,부채총계,자본잠식률,부채비율(%),유상증자조달액,전년대비매출성장률(%),재무판별등급
2021-12-31,0,0,0,38420991000,0.0,0,0,0,0,0.0,0.0,115762673000,0.0,거래 정상
2022-12-31,0,-58182086000,-60405625000,0,0.0,2505000,119689261000,139865404000,20176142000,-47779.1441,16.86,402555000,0.0,거래 정상
2023-12-31,0,-55617962000,-53404510000,0,0.0,2550000,74856372000,90511432000,15655059000,-29354.44,20.91,41261000,0.0,투자 위험

=== 3. 주요 위험 요인 (Risk Events) ===
위험유형,상세지표
매출 미달 연속 기간,3년 연속 30억 미만
최근 3개년 유상증자 횟수,3회 실시
최근 3개년 유상증자 조달금액,"116,206,489,000 원"
최대주주 및 특수관계인 지분율,18.5% (15% 미만 시 지배력 약화 위험)
최종 진단 등급,거래 정지

=== 4. 공시 데이터 (Disclosures) ===
공시연도,공시유형,조달금액(원),영향
2026,분기보고서 (2026.03),N/A,모니터링 필요
2026,임원ㆍ주요주주특정증권등소유상황보고서,N/A,모니터링 필요
2026,"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)",N/A,모니터링 필요
2026,"투자판단관련주요경영사항(임상시험계획자진취하등)              (NTI7(NIT119, 비소세포폐암) 임상 2상 시험 자진취하)",N/A,핵심 R&D 성과 입증 및 파이프라인 개발 진척
2026,[기재정정]증권예탁증권(DR)병합결정              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주식병합결정              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,주식매수선택권부여에관한신고,N/A,모니터링 필요
2026,사외이사의선임ㆍ해임또는중도퇴임에관한신고,N/A,모니터링 필요
2026,대표이사변경              ,N/A,모니터링 필요
2026,정기주주총회결과              ,N/A,모니터링 필요
2026,기업설명회(IR)개최              ,N/A,모니터링 필요
2026,사업보고서 (2025.12),N/A,모니터링 필요
2026,감사보고서제출              ,N/A,모니터링 필요
2026,[기재정정]주주총회소집공고,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,[기재정정]주주총회소집결의              ,N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2026,의결권대리행사권유참고서류,N/A,모니터링 필요
2026,주주총회소집공고,N/A,모니터링 필요
2026,증권예탁증권(DR)병합결정              ,N/A,모니터링 필요
2026,주식병합결정              ,N/A,모니터링 필요
2026,주주총회집중일개최사유신고              ,N/A,모니터링 필요
2026,주주총회소집결의              ,N/A,모니터링 필요
2026,코스닥시장상장외국법인외부감사인선임ㆍ해임신고서              ,N/A,모니터링 필요
2026,매출액또는손익구조30%(대규모법인은15%)이상변동              ,N/A,모니터링 필요
2026,[기재정정]전환청구권행사              (제1회차),N/A,공시 변경/연기 등에 따른 신뢰도 저하 및 벌점 리스크
2025,전환청구권행사              (제1회차),N/A,모니터링 필요
2025,"투자판단관련주요경영사항              (겸상적혈구질환 치료제 북미 지역 제반 권리(판매권, 유통권, 상표권 등)에 대한 라이선스 도입의 건)",N/A,모니터링 필요
2025,기타경영사항(자율공시)              (제12기 정기주주총회 권리주주 확정을 위한 증권예탁증권 기준일 설정 공고),N/A,모니터링 필요
2025,전환가액의조정              (제1회차),N/A,모니터링 필요
2025,분기보고서 (2025.09),N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
2025,대표이사변경              ,N/A,모니터링 필요
2025,주식등의대량보유상황보고서(일반),N/A,모니터링 필요
